stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,9.02,0,0,0,4.63,0,0,8.7,0,0,0,0,0,0,0,0
 14-21,0,0,5.95,0.98,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,1.26,13.38,0,0,15.44,9.36,0,0,0,0,0,0,0,0,0,24.19,2.17,0,0,0,0
 24-34,0,0,7.85,0,0,4.15,1.62,0,0,0,0,0,0,0,0.72,0,0,0,29.98,35.52,0,0,30.32,52.43,0,1.22,0,0,0,2.73,0,0,0,11.68,6.52,0,0,0,10.91
 36-46,0,0,2.08,0,0,5.3,3.98,0,0,7.84,0,0,0,0,0,0,0,5.03,198.98,33.07,0,0,7.76,71.3,0,0.87,0,0,0,1.46,0,0,0,3.49,7.71,0,0,0,1.19
 48-58,0,0,0,1.97,0,14.42,2.41,0,0,1.49,0,0,0.87,5.89,0,4.97,0,0,272.82,15.27,1.46,0,0.79,53.68,0,0.79,0,0,0,3.38,0,0.59,0,0,3.92,0,1.97,0,0.72
 60-70,0,0,0,0.82,0,34.43,0,0.61,0,0.85,0,0,0,3.4,0.86,6.06,1.04,0,246.29,26.1,0,0.99,0,55.55,0,1.08,0,0,0,2.33,0,0,0,0,7.99,0,0,0,0.7
 72-82,0,0,0,5.57,0,22.36,0,0.65,3.5,2.54,0,0,0,0,0,0.49,0,0.54,191.91,84.54,6.51,0,10.39,22.34,0,1.27,0,0,0,6.66,0,1.36,0,0,4.91,0,0.72,0,3.61
 84-94,0,2.22,1.49,27.07,0,15.76,0,5.22,0,0,0,0,0,1.05,0,2.76,0,18.66,375.5,69.29,0,0,7.32,31.51,0,9.53,0.6,0,0,7.82,0,13.6,0,0,1.19,0,1.2,0,0
 96-106,0,0,0.64,12.1,0,20.83,0,0.63,5.42,5.64,0,1.32,3.82,1.8,0.8,5.01,0.77,37.68,195.18,117.08,0,0,9.23,68.69,0,0,0,0,0,5.52,0,158.48,0,0,1.02,2.88,7.7,3.01,0
108-118,0,0,6.34,10.49,0,26.44,0,0.7,0.5,21.77,6.15,0,1.61,2.95,0,13.78,0,194.31,450.06,163.88,5.99,0,17.05,38.08,0,0.72,0.51,0,4.64,11.8,0,352.84,0.5,0,0,0,0,0,13.01
120,0,0,9.24,0,4.06,21.87,0,0,3.49,36.45,1.51,0,2.18,22.88,0,9.53,0,236.72,211.76,268.13,0,0,32.21,70.37,8.67,0,0,0,0,5.31,0,412.75,0,0,0,0,0,0,0
