stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,426.81,8428.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.07,0,0,0,0,0,0,0,0,0,0
  5-6,268.46,3893.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.29,0,0,0,0,102.48,0,0,0,0,0,0,0,0,0,0
  7-9,19.19,32.04,0,24.92,0,0,0,148.56,0,0,0,0,0,54.24,0,0,0,0,0,0,0,0,0,0,0,1018.79,0,0,0,206.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.89,0,7.16,0,107.08,0,0,0,0,0,11.58,0,0,0,0,0,0,0,0,0,0,0,1186.87,66.36,0,0,219.68,0,8.88,0,59.6,0,11.56,0,0,0,0,0
 14-21,0,0,0,0.9,62.62,5.96,0,10.78,0,0,0,2.32,0,3.04,0,0,1.07,0,0,0,0,30.5,0,0,17.69,264.67,17.1,1.03,0,3.43,8.37,0,22.25,0,4.46,29.82,36.15,0,2.84,0,0
 24-34,0,0,0.66,0,129.76,0.66,0,31.35,0,9.52,1.54,3.04,0,2.59,0,1.63,0.93,4.1,2.66,0,1.94,64.34,0.65,0,10.5,237.94,6.45,3.83,6.3,0,7.8,0,0,1.46,0,3.97,29.31,0,13.41,0,6.76
 36-46,0,0,0,0,159.04,0,0,21.92,1.34,25.38,2.83,5.56,2.05,0,1.05,21.91,0,10.34,4.77,0,5.39,35.33,0,0.88,16.35,120.63,8.67,1.69,2.4,0,6.49,0.81,0,0,0,0,18.2,0,5.81,0,12.73
 48-58,0,0,0,0,156.85,0,0,39.3,0.68,32.35,1.17,10.08,0,0,0,1.37,0,8.89,0.97,0,1.03,58.13,0.8,0,10.48,74.88,10.21,0,2.25,0,3.51,0,0,0,0,0,18.91,0,3.92,0,82.18
 60-70,0,0,0,0,203.17,0,0,25.24,0,39.5,0,6.19,0.63,0,0,0.57,0,21.9,0,0,15.74,78.71,4.3,0,13.09,42.33,3.27,0.74,2.12,0,4.68,0,0,0,0,0,13.38,0.63,6.6,0,255.25
 72-82,0,0,0.76,0,129.97,0,0,31.92,0.65,30.98,4.52,13.36,1.19,0,0.86,4.99,0.54,28.1,0,1.08,8.4,105.74,2.81,3.24,4.54,60.78,3.56,1.28,6.21,0,3.01,0,0,0,0,0,4.33,0,9.97,0.59,103.71
 84-94,0,0,0,0,298.1,0.68,0,50.23,0,77,0,12.28,0.73,0,0,13.83,0.73,61.35,0,6.17,7.17,64.3,3.33,0,5,73.83,0.57,1.78,0.56,0,13.01,0,0,0,0,0,0,1.15,4.13,1.66,131.93
 96-106,0,0,0,0,186.54,10.51,0.63,43.14,0,49.43,1.14,9.39,2.78,0,1.2,19.69,0,101.41,0.58,0.7,8.71,93.5,2.28,1.14,15.34,50.92,0,2.61,1.24,0,8.41,0,0,0,0,0,2.38,0,12.64,0,58.31
108-118,0,0,0,0,245.02,2.46,3.66,25.64,0.46,71.25,0.47,12.74,3.63,0,0,44.79,0,108.33,0.63,1.66,0,92.31,3.4,0,5.32,146.51,9.99,2.31,5.25,0,6.65,0,0,0,0,0,2.82,1.09,2.5,1.05,77.73
120,0,0,0,0,239.44,2.21,0,13.47,10.09,59.22,6.93,14.3,6.55,0,0,95.46,0,117.09,0,9.15,0,140.02,0,0,11.21,123.5,3.13,4.78,3.94,0,3.19,0,0,0,0,0,0,0,8.14,9.78,11.37
