stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,18.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.23,0,0,0,0,0,7.88,0,0,0,0,6.28,0,0,0,0,0,0,0,0,0,39.28,0,0,0,4.66,0,0,0,0,0,0,0,0
 10-12,11.92,0,10.88,0,0,0,38.64,0,0,0,0,22.3,0,0,0,0,0,0,0,0,0,356.83,4.36,0,0,13.62,0,0,0,0,0,0,0,0
 14-21,0,1.38,0,8.99,0,0,2.83,0,0.87,3.52,1.08,0.99,0,0,1.15,0,0,0,0.8,0,1.05,72.26,5.29,0.92,0,1.41,0.86,2.52,0.83,0,0.86,17.37,0,0
 24-34,0,0,0.62,0.71,0,0,2.72,0,0,1.53,0,0,0,0,0,0,0,0,0.69,0.68,0,28.5,0,0,1.9,0,1.01,0,0,0,0,14.32,0,0
 36-46,0,0,0,1.83,0,0,4.71,0,0,1.07,0,0,0.93,0,0.77,0,3.26,0.58,1.74,0,1.23,28.95,5.95,0,2.33,0,14.35,0,0,0,0,4.45,0,0
 48-58,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,10.3,0,0,0,0,0,0,0,0,0,1.1,0.41,0
 60-70,0,0,0,0,0,0,22.56,0,0,0.72,0,0,0,0,0,1.16,0,0,0,0,0,19.09,0,0,1.2,0,0,0,0,0,0,2.73,2.06,0
 72-82,0,0,0,0.8,0.77,0,8.93,0,0,0,1.48,0,0,0,0.54,0,0,0,2.17,0.56,0,11.81,0,1.37,0.51,0,1.02,0,0,0,0,0,1.76,0.59
 84-94,0,0,0,0.68,1.61,5.67,20.09,0,0,0,2.56,0,0,0,0,0,9.2,0,3.43,0,0,23.05,0,0,1.29,0,1.99,0,0.91,0,0,4.84,0,0
 96-106,0,0,0,0.73,2.73,0,3.15,0,0,0,0.61,0,0,0.57,0,0,0,0,2.7,0,0,5.87,0,0.6,0.57,0,3.08,0,0,1.26,0,0,4.55,0
108-118,0,4.33,0,7.27,8.2,1.8,5.49,0.98,0.48,0,4.33,0,0,1.83,1.83,1.42,0.97,0,8.28,0,1.78,19.6,0,1.37,1.34,0,2.17,0,0.46,0,0,0,0,0
120,0,0,0,2.18,0,0,1.5,0,2.58,0,0,0,0,2.12,0,4.1,0,0,13.62,0,0,11.73,0,0,6.31,0,1.36,0,0,0,0,0,0,0
