stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,15.04,2.05,0,3.63,0,0,0,0,1.08,0,0,0,0,0,0,0,5.78,0,0,2.82,30.09,0,0,0.98,0,0,14.09,3.33,0.85,8.26,19.86,0,0,0,0,0
 24-34,0,0,0,0,6.27,0,0,0,1.53,0,0,0.94,2.27,0,0,0.95,0,3.73,0,0,18.13,84.52,0.61,0,2.63,0,0.99,14.7,0.97,0,0,26.66,0,0,1.98,0,0
 36-46,0,1.26,0,0,12.1,0,0,0,1.73,0,0,0.89,0,0,0,0,0,7.12,0,0,1.37,153.32,0,0.83,3.15,0,0,7.1,0,0,0,29.17,0,0,1.06,0,0
 48-58,0,3.16,0.41,0,33.72,0,0.89,1.28,9.62,0,0,0,0,0,0,0,0,10.57,0.74,0,2.44,156.23,0.93,0,1.04,0,0,25.73,0,0,0,17.1,0,0,4.55,0,0.54
 60-70,0,6.87,0,0,57.32,0,0,0,1.19,0.58,0,0,0,0,0,0,0,29.21,0.9,1.4,5.7,117.61,0,0,0,0,0,7.59,0,0,0,24.54,1.22,0,1.86,0,0
 72-82,0,4.38,0,0,59.3,0,2.27,1.62,19.28,1.25,0.73,0,1.96,0,0,0,0,23.52,0,0.75,1.22,129.01,0.73,1.09,1.21,0,1.31,8.17,0,0,0,5.97,0,0.85,6.35,0,5.9
 84-94,0,4.74,0,0,31.08,1.15,0,0,14.63,0,0,0.77,0.82,4.61,0,0,0,29.44,0,8.99,2.38,66.48,0.62,1.75,0.92,3.85,0,10.96,0,1.8,0,3.96,0,0,18.18,0,0
 96-106,0.9,0.77,0,0,37.89,0,0,0,8.61,1.11,0,0,1.12,0,6.29,0,0,37.77,0,0.88,1.99,58.93,0.57,0,2.59,0,0,23.88,0,0.67,0,0,0,0,2.02,0,0
108-118,0,7.04,0,2.13,32.57,0,0.47,0.96,4.26,0.48,0.69,2.53,0.51,4.4,0,0.45,4.23,13.68,0,0.46,3.39,69.45,1.51,5.11,4.45,0,1.02,16.37,0,0,0,0,0,0.47,2.15,0.73,0
120,0,4.94,0,0,36.72,0,0,0,11.52,1.41,0,0,2.19,0,0,1.01,0,32.27,0,0,2.52,55.4,2.28,0,4.43,0,0,10.8,0,0,0,0,0,0,3.51,0,0
