stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,30.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.01,6.48,0,0,5.76,0,0,0,0,0
 10-12,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0,26.03,0,0,0,0,0
 14-21,0,1.49,0,0,0,0,0,0,0.83,0,0,0,2.91,1.13,11.41,0,0,4.45,0.89,0,0.84,2.9,1,0
 24-34,0,0,0.59,0,0,0,0,0,0,0,0,1.4,3.13,0,13.6,0,0,0,0,1.67,0,5.1,0,3.29
 36-46,0,0,0,0,3.85,0,0,0,0,0,0,0,5.69,2.52,81.23,0,0,0,0,0,0,13.46,0,3.89
 48-58,0,0,0,0,5.73,0,0,1.51,0,0,0,1.44,5.22,0.99,42.48,0,0.78,0,0,0,0,9.12,0,3.9
 60-70,0,0,0,0,8.93,0,0.62,76.18,0,6.19,0,0.93,0.88,0,35.01,0,0,0,0,0,0,0,0,2.52
 72-82,0,0,0.51,0,8.03,0,0,126.82,0,2.53,0,0,5.97,0,24.72,0,0,0,0,0.65,0,3.86,2.95,4.52
 84-94,0,0,2.75,1.45,12.76,0,0,106.54,0,16.47,0,1.35,13.33,0.87,39.09,0,0,0,0,0,0,0,0,2
 96-106,0,0,2.03,0,3.89,0.57,0.71,174.72,0,4.96,0,0,3.88,1.08,9.21,0,0,0,0,2.86,0,0,0.74,0
108-118,0,0,0,0,1.37,0,0,141.44,0,6.45,2.53,0,1.8,0,18.35,0,0,0,0,0.83,0,0,0,2.71
120,0,0,0,0,8.13,0,0,247.47,0,0,0,0,2.46,3.68,32.41,2.28,0,0,0,0,0,0,0,0
