stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34,12.84,0,0,30.42,0,0,0,15.27,0,0,0,0
 14-21,0,3.67,0,0,0,0,0.89,0,0,0,0,0,0,0,0,19.32,7.51,1.25,0,0,0,0.97,7.83,648.83,986.05,1.05,0,0,0
 24-34,0,0,1.97,70.73,0,1.06,0,0,1.77,0,0,0,3.35,2.89,0,49.94,62.58,0,3.22,0,0,5.25,0,124.76,547.77,10.54,0,1.29,0
 36-46,0,3.39,9.47,58.48,0,0,1.58,0,0,0,0,0,0,0.6,0,12.29,31.8,0,0,0,0,1.03,0,43.7,10.65,8.09,0,0,0.67
 48-58,0,0,3.62,45.05,0,0,1.63,0,0,0,0,0,0,2.28,0,14.88,30.2,0,0,1.41,0,0.6,0,15.81,0,0.84,0,0,1.53
 60-70,0,0.6,12.22,36.68,0.65,0,0,0,0,0,0,0,0,2.25,0,19.42,33.01,0.63,0,0,0,10.81,0,13.12,0,0,0,0,0
 72-82,0,6.45,0,23.8,0,0,0,4.83,0,0.94,0,0,0,1.22,0,15.71,10.97,0,0,0,0,0,0,7.99,0,0,0,4.92,4.65
 84-94,0,0,16.78,32.8,0.84,0,3.86,0,0,0,0,0,0,3.79,0,5.81,4.38,0,0,0,0,0,0,2.58,0,0,0,2.07,0
 96-106,0,2.87,17.52,34.66,0.63,0,1.99,0,0,0.56,1.11,0.74,0,1.99,0.66,13.94,15.27,0,0,0,0,1.86,0,0.84,0,0,1.24,0,0
108-118,0,0.49,0,22.8,0,0,0,1.09,0,0.55,0,0.61,0,1.99,0,9.62,5.69,0,0,0,0,0,0,6.14,0,0,0,0,0
120,0,0,29.41,8.09,0,0,0,0,1.61,0,4.83,0,0,0,0,5.48,8.45,0,0,0,0,0,0,2.54,0,0,0,2.07,0
