stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,0,0,0,5.78,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,0,0,0,18.87,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,4.33,0,0,0,0,0,302.15,0.97,0,1.58,0,0,0,1.76,0,0,0.88,148.85,0,0,0,0,0
 24-34,0,0,4.38,1.68,0,11.83,0,0,2.96,0,0,0,0,0,0,0,0,0,0,2.24,0,0,2.75,2440.5,0.83,3.06,1.55,0,0,1.79,0,0,0,0,921.69,0,0,2.79,0,0
 36-46,0,0,10.31,0,0,69.2,1.02,0,3.9,6.65,0,0,1.71,0,0,0,0,0,6.95,14.8,0,0,2.7,8116.64,0,1.34,0,0,0,29.11,0,0,0.58,0,1361.06,0,0,2.5,0,6.91
 48-58,0,0,26.44,1.97,0,575.38,0,4.9,1.14,39.68,0.38,0,1.2,0,0,0,5.72,1.49,6.63,56.95,0.7,1.37,17.31,12901.45,7.04,10.68,8.09,0,0,13.89,0,0,7.82,0,1473.51,0,0,3.13,0,26.68
 60-70,0,2.79,16.73,0,0,2150.76,1.44,6.3,10.05,63.67,0.85,1.64,5.68,4.15,0,0,1.96,0,1.46,76.41,0,15.05,2.08,13605.71,5.04,1.19,2.8,0,0,21.59,0,0,1.01,0,1915.47,0.84,0,0.84,0,32.34
 72-82,1.85,0.75,76.08,11.58,0,5562.4,0,1.75,8.65,203.39,2.79,0,0,0.67,7.14,0,0,9.17,0.85,94.09,0,6.05,3.49,12339.13,0,8.28,4.36,0,0,1.47,0,0,0,0,1352.36,10.14,5.27,6.48,2.96,25.94
 84-94,1.16,0,64.85,10.54,0,3428.62,2.08,0.68,2.3,178.18,2.68,0,1.02,0.64,3.71,3.83,0.97,2.4,6.67,98.31,3.56,8.96,2.44,6724.24,0,5.13,2.53,0,2.02,25.14,0,0.57,1.25,0,712.92,2.72,6.59,18.06,3.43,0.61
 96-106,1.81,0,68.26,25.09,1.27,4493.93,2.05,3.49,0.84,153.1,8.54,0,0,4.12,0.64,10.99,0,32.91,0,62.53,3.31,1.68,9.99,5982.11,3.38,0,9.93,0,6.75,13.83,0,0,0.68,0,256.29,17.97,1.1,1.6,4.37,4.57
108-118,1.18,0.61,74.47,13.81,2.51,3472.04,0,1.73,6.58,114.84,12.74,0,0,9.19,0.52,1.83,0,1.02,0,98.01,0.48,8,4.57,6129.92,5.72,14.08,7.03,0,0,6.32,0,1.48,0,0,293.37,2.45,5.46,1.63,6.85,2.33
120,0,3.17,95.06,2.48,0,2979.47,2.03,19.47,8.03,170.12,1.38,0,0,34.84,0,11.11,3.76,0,0,70.12,0,0,26.5,9408.69,11.49,0,47.8,0,0,31.29,0,1.13,0,0,277.4,0,0,28.17,4.11,0
