stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,5.35,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,1.77,0,0,0
 36-46,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0
 48-58,0,9.38,0,0,0,0,0,0,0,0,5.73,0,0,0,2.37,0,0,0,0,1.03,0,0
 60-70,0,14.72,0,0,5.98,2.61,0,2.72,2.38,0,3.77,0.86,0,0,1.19,0,0,1.52,0,0,0,0
 72-82,0,7.64,0.52,0,3.27,0,0,2.23,0,0,15.1,2.96,0,0,6.34,0.89,0,0,2.63,3.43,0,0
 84-94,0,38.32,2,0,7.26,0.57,0,3.44,0,0,62.05,1.43,0,0,11.14,0,0,0,4.5,0,0,2.76
 96-106,1.43,14.07,5.25,0.94,22.87,0,1.91,1.84,0.6,0.89,90.34,4.23,2.28,0,23.48,0,0,9.99,6.33,0,3.34,0
108-118,0,17.88,0,0,4.67,1.05,0,0,2.75,2.45,180.91,2.53,0,1.7,23.48,0,0,3.31,6.92,1.68,0,0
120,0,13.26,0,0,1.12,0,1.62,1.8,0,0,90.84,2.48,0,2.44,36.97,0,0,0,22.13,0,0,0
