stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,141.41,2854.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.6,0,0,0,0,0,0,0,0
  5-6,824.17,8567.95,0,27.67,0,0,0,0,0,0,0,0,61.38,0,0,0,0,0,0,0,0,0,651.81,0,0,0,127.34,190.29,0,0,0,0,0,0,0,0
  7-9,185.23,469.21,0,711.92,0,0,1316.53,0,0,0,0,0,545.88,0,0,0,0,0,0,0,0,0,12801.56,293.57,0,0,5110.71,25.57,102.13,0,0,0,0,0,0,0
 10-12,0,126.95,0,214.63,0,14.24,415.81,0,0,0,0,0,57.71,0,0,0,0,0,0,0,0,0,5460.74,74.76,0,0,1960.81,19.33,56.75,11.24,185.09,4.51,9.81,0,0,0
 14-21,0,0,0,0.93,8.41,0.93,2.77,0,0,0,4.16,0,0,0,0,0,0,0,0,2.26,0,5.53,72.02,1.87,0,0,2.09,2.46,0,9.18,0.87,3.73,26.14,0,0,0
 24-34,0,0,0,0,13.45,0,99.85,0,0,0,3.36,1.08,0,0.85,0,1.21,0.64,0.78,0,48.49,0,13.44,685.75,0,3.39,7.06,0,8.93,0,0,0.7,0,118.53,0,6.14,0.78
 36-46,0,0,0,0.56,1.23,1.11,195.28,0,1.12,0,10.54,0,0,0,3.32,0,0.62,0,2.32,27.63,0.68,3.22,364.91,0,0.79,1.39,0,1.64,0,0,0,0,67.25,0,6.79,0
 48-58,0,0,0,0,5.36,1.35,189.75,0,1.55,0,4.32,2.44,0,0.71,0,0,1.22,0,0,12.2,1.38,2.71,167.83,1.16,0.88,0,0,11.01,0,0,0,0,11.29,0,0,0
 60-70,0,0,0,0,5.45,0,243.06,1.28,0,0,12.24,0,0,0,2.87,0,0,0,0,31.83,3.53,3.27,129.14,0,1.22,0,0,0,0,0,0.76,0,9.08,0,0,0
 72-82,0,0,0,0,1.58,0,47.53,0,0,0,4.04,0.63,0,0,0.51,0,0,0,0,16.13,1.15,2.99,48.37,0,1.63,0,0,0,0,0,0,0,0,0,2.78,0
 84-94,0,0,2.56,0,7.13,0,59.55,0,0,0,7.8,2.69,0,0,1.5,1.2,0,0,0,23.43,2.59,1.43,34.65,0,0,0,0,0,0,0,0,0,0,1.17,0.95,0
 96-106,0,0,0,0,2.23,3.31,18.61,0,0,1.4,8.52,0,0,0,0.83,0,0,0,0,4.5,0,1.57,11.81,0,0,0,0,12.65,0,0,0,0,0,0,0,1.51
108-118,0,0,0,0,1.76,0.46,16.12,0,0,0,1.64,0,0,0,0,0,0,0,0,2.37,1.63,1.08,25.37,0,0,0,0,0,0,0,0,0,0,0,0.55,0
120,0,0,0,0,7.19,1.1,42.53,0,5.35,0,36.03,0,0,0,2.44,0,0,0,3.29,6.92,0,0,44.15,0,0,3.28,0,0,0,0,0,0,0,0,0,0
