stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,170.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.41,105.67,0,0,0,0,0,0,0,0,0,0,0,0,8.83,180.68,0,0,0,0,0,0,0
  7-9,10.39,16.96,0,0,13.84,0,0,0,0,0,0,185.45,13.09,0,34.72,3.76,14.43,0,0,0,0,0,0
 10-12,0,0,0,0,7.32,0,0,0,0,0,0,159.57,6.39,0,26.18,3.07,0,0,0,0,0,0,0
 14-21,0,0,8.66,0,0,0,0,0,1.33,3.02,1.07,20.74,0,1.09,0,4.22,0,0.88,5.77,0.93,0.95,12.04,0
 24-34,0,0,0.77,0,0.6,0,0,0,0,0,0,2.69,0,0.64,0,0.62,0,0,1.26,0,0,2.06,1.3
 36-46,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0,0,0.7,0,0,0.83,0
 48-58,0,0,0,0,0.59,0.45,0.46,0,0,0,0,8.46,0,0,0,0,0,0,3.25,0,0,0,0
 60-70,0,0,0,0,6.11,0,3.35,0,0,0,0,2.67,0,0,0,0,0,0,0,0,0,3.57,0
 72-82,0,0,0,0,0,0,0,0.71,0,0.79,0,2.4,0,0,0,0,0,0,1.12,0,0,0,0.62
 84-94,0,0,0,0,0.55,0,0,0.63,0,1.71,0,3.06,0,0,0,0,0,0,0.64,0,0,0,0
 96-106,0,0,0.6,0,0,0,1.92,0,1,5.19,0,6.48,0,0,0,1.08,0,0,0.78,0,0,0,0
108-118,0,0,0,2.24,0,0.75,0,2.07,0,1.07,0,4.68,0,0,0,0,0,0,1.77,0,0,0,1.37
120,0,0,3.13,0,0,0,3.71,0,0,0,0,13.47,0,0,0,0,0,0,1.73,0,0,5.71,0
