stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.11,272.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0,0
  5-6,0,144.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,19.16,0,0,0,0,0,3.91,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,96.81,9.94,0,0,43.47,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.91,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.96,5.7,0,0,52.66,0,0,3.64,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.34,2.74,0,4.53,0,0,0,3.31,0.85,2.29,1.34,0,0,0.87,0,0,0,6.97,0,0,9.18,35.99,0,0,4.45,0,0,2.84,0,0,6.39,19.01,0,0,0,0,0
 24-34,0,0,0,0,1.38,0,0,20.63,8.76,0,0,0.97,0,0,0,0,0,39.35,0,0,0,5.18,0,0,0,78.32,0,0,0,0,0.7,0,0,0,1.74,11.11,0,0,1.13,0,0
 36-46,0,0,0,0,0.66,0,0,21.2,0,0,0.71,6.43,0,0,0,0,0,375.98,0,0,6.55,6.73,0,2.01,1.95,66.8,0.57,2.5,0,0,0,0,0,0,0,20.3,0,0,1.06,0,0
 48-58,0,0,0,0,0.81,5.2,0,49.91,0,0,0,8.6,0,0,0,0,0,1475.39,0,0.37,10.43,16.36,0.63,0,1.86,117.54,1.37,0,0,0,0.68,0,0,0,0,16.52,0,0.61,0.49,0,0
 60-70,0,0,0,0,1.73,0,0,81.36,0,3.31,0,7.39,0,0,0.66,1.88,0,4328.45,0,0,0,19.47,0,0.95,1.49,109.02,0,0,0,0,4.28,0,0,0,0,12.44,0,0,1.26,0,126.11
 72-82,0,0,0,0,4,0.59,0,76.27,1.57,5.06,0,9.87,17.53,0,0,4.39,0,5345.65,0,6.61,10.48,18.24,0,2.05,1.32,134.85,0,0,1.41,0,5.58,0,0,3.02,0,17.3,0,0,3.12,0.93,38.35
 84-94,0,0,1.53,0,2.49,5.1,0,55.01,0,0,8.29,10.67,2.47,0,0,1.11,0,8769.7,1.09,0,0,30.56,0,0,3.27,91.21,0,0,0,0,11.95,0,0,0,0,16.45,1.68,2.12,0,0,58.81
 96-106,0,0,0.81,11.91,4.36,13.16,0,109.06,6.76,1.79,14.86,16.97,29.76,0,0,1.27,0.92,9375.15,0,66.44,3.66,31.32,4.44,1.02,4.17,166.35,52.34,1.31,1.01,0,19.47,0,11.69,8.07,0,1.3,0,0.57,4.92,0,92.15
108-118,0,0,0,0.49,9.09,0.66,2.84,57.52,0,0.47,2.56,12.83,5.95,0,0,0.69,1.11,13836.86,0,8.47,0,46.61,0,0.92,2.72,96.28,0.89,0,2.58,0,42.31,0,0,0.43,0,4.28,0,1.04,3.69,0,144.99
120,0,0,0,0,1.07,3.02,2.35,38.32,0,0,10.54,10.56,6.3,0,0,0,0,8311.97,0,0,0,31.64,0,0,0,23.71,1.08,0,0,0,1.93,0,9.54,0,0,5.17,0,1.32,0,0,30.78
