stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pronephros,spinal_cord
  3-4,0,19.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,26.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,0,0,0,7.84,0,0,0,0,0,0,0,0,0,13.5,0,20.94,0,0
 10-12,0,0,0,5.34,0,0,0,0,0,0,0,0,0,0,105.98,0,42.84,5.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.13
 24-34,0,0,1.15,0,0.8,0,0,0,0,0,0,0,0,0,1.88,0,0,0,1.16
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,0,0,0
 48-58,0,0,0,0,1.61,0.66,1.94,0,0.76,0,0,0.51,0,0.53,12.86,0,0,0,2.51
 60-70,0,0,0,0,0.58,0,0,0,0.8,0,0,1.06,0,0,5.46,0,0,0,0
 72-82,0,0,0.54,0,3.18,0,0,0.56,2.94,0,1.25,6.4,1.42,2.56,6.51,0,0,0,2.8
 84-94,0,0,0,0,0,0,0,0,6.58,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.87,0,0,0,0,0.56,0,1,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0
120,0,0,0,0,13.91,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0
