stage,eye,fast.muscle,fin.epithelia,glial,ionocyte,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,taste,vascular.smooth.muscle
 10-12,0,0,0,0,0,0,0,9.59,0,0,0,3.37,0,0
 14-21,0.85,0,0,0,0,0,1.07,1.86,0,0,0,0,0,0
 24-34,2.56,0,0,0,1.03,0.71,0,2.75,0,0,0,0,0,0
 36-46,0,0,1.71,0,0,0.78,0,2,1.29,0,0.83,0,0,0
 48-58,2.65,0,0,3.4,0,5.83,0,5.94,0,0,0,0,0,0
 60-70,11.88,0,0,0,0,0,0,9.15,0,0.85,0,0,0,0
 72-82,0,0.6,0,4.77,0,0,0,1.66,0,0,0.66,0,0,1.38
 84-94,1.74,0,0,0.82,0,0,0,1.98,0,0,0,0,2.5,0
 96-106,0,0,0,0,0,0,0,6.74,0,0,0,0,0,0
108-118,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.37,0,4.35,0,0,0,0,0,0
