stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.6,0,0,0,4.09,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.14,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.91,0.97,0,0.95,0,0,1.05,0,0,0,0
 24-34,0,0.79,2.12,0,0.79,0,1.06,0,0,0,0,0,0,0.61,0,3.81,0,1.39,24.93,0,2.63,2.33,0,0,0,0.65,1.23,0,0
 36-46,0,0,0,0,1.35,0,0,1.38,0,0,0,0,0,0,0,1.23,0,1.16,25.13,0.62,0,0,0,1.98,0,0,1.89,0.61,3.02
 48-58,0,0,0.4,0,0.62,0,0,3.81,0,0,0,0,0,0.46,0.87,1.21,0,0.79,16.63,0,0,0,0,0,0,0,10.73,0,0
 60-70,0,0,0,0,7.24,0,1.03,6.95,0,0.71,0,0,0,0,0,3.93,0,0.99,17.92,0,0,0,0,3.86,0,0,6.9,0,0
 72-82,0,0,0,1.04,10.05,0,4.21,3.22,0,0,0,0,0,0,0,7.53,0.56,0,2.49,0,0.79,1.01,0,0,0,0,1.29,0.62,0
 84-94,0,0,1.52,0,4.73,0,0,0,0,0,0,0,0,0,0,0.87,0,0,17.85,0.94,0,0,0,0,0,0,3.7,0,0
 96-106,0,0,2.98,0,4.02,0.9,0,3.39,0,0,0.56,0,0,0,0,12.73,0,1.09,6.26,0,0,0.93,0,0,0,0,1.32,0,0
108-118,0,0,0,0,0.54,0,0.62,4.23,0.47,0,2.59,0.47,0,0.43,0,4.56,0,0,3.79,0,0,0.56,0,2.07,0,0,1.12,0,0
120,0,0,4.63,0,0,0,0,0,0,0,6.78,0,11.36,0,0,14.79,0,0,7.43,0,0,0,0,0,0,0,0,0,0
