stage,axial,blastomeres,endoderm,eye,fin.epithelia,glial,gut,hatching.gland,iridophores,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  5-6,20.67,24.37,0,0,0,0,0,22.09,0,0,0,11.86,0,0,0,0,0,0,0
  7-9,10.39,0,159.61,0,0,0,0,79.53,0,0,0,63.16,0,27.02,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,25.61,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.44,0,0,0,0,1.07,0,0
 24-34,0,0,0,0.67,0,2.76,0,0,0,0.83,1.52,3.81,10.1,0,3.03,0,0,5.2,1.98
 36-46,0,0,0,1.74,0,6.45,0,0,0,0.8,0,4.43,0,0,1.92,0,0,6.19,0
 48-58,0,0,0,0,0,0.45,0,0,0,0,0,2.54,0,0,0,0,0,5.68,0
 60-70,0,0,0,2.2,0,0.65,0,0,2.04,0,0,0,0,0,4.09,0,0,0,0
 72-82,0,0,0,0.79,0,1.36,0,0,0,2.69,0,0.68,0,0,0,0,0,0,0
 84-94,0,0,0,3.03,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0
 96-106,0,0,0,13.07,0.84,0,2.09,0,0,0.85,1.2,2.84,0,0,0.6,0,0,0,0
108-118,0,0,0,15.36,0,0,0.42,0,0,3.48,0,0,0,0,2.51,0,0,0,0
120,0,0,0,7.36,0,0,2.52,0,0,3.23,0,2.91,0,0,9.24,1.79,0,0,0
