stage,axial,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,neural,olfactory,otic,periderm,pgc,spinal.cord
  7-9,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,5.74,0
 10-12,0,0,0,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,1.17,0,1.15,0,5.45,0,0,0,0,0,0,0,0.87,0,5.32,0,13.24,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,10.34,1.07,6.06,2.68,0,0
 48-58,0,0,0,1.27,0,0,0,0,0,0,0,0,2.48,1.07,0,5.66,0.46,7.43,0,0,0
 60-70,0,0,0.57,0,0,0,0,0,0,0,0,0,2.85,0.79,0,17.03,0,14.12,0,0,0
 72-82,0,0.6,0,3.79,0,1.95,0,0,0,0,0,0,3.77,0,0,7.85,1.82,31.57,0,0,0
 84-94,0,0,1.89,1.4,0,0,0.9,0,0,0,0,0,13.16,0,1.53,1.53,3.34,35.91,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.88,0,0,23.31,0,0,10.42,0,69.19,0,0,0
108-118,0,0,0,1.26,1.29,3.82,0,0,0,0,0.42,0.53,10.99,0,0,30.47,2.58,57.53,0,0,0
120,0,0,0,4.18,0,0,1.02,0,0,0,0,0,27.16,0,0,42.53,0,67.46,0,0,14.99
