stage,blastomeres,epidermis,erythrocytes,eye,glial,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,15.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,15.99,0,0,0,7.95,0,0,0,0,0,0,0
 10-12,8.59,0,0,4.29,0,0,0,0,0,0,11.71,0,0,0,10.47,0,0,0,0,0,0,0
 14-21,0,0,0.98,2.09,0,0,0,0,0,0,2.5,0.83,0,0,0,0,1.29,2.05,0,0,0,0
 24-34,0,1.8,0,0,0,0,0,0,0.71,2.14,3.68,0,0,0,0,0,0,0,0,0,0.6,0
 36-46,0,0,0,0,0,2.31,0,0.59,0,1.46,6.97,0,2.98,0,0,0,0,1.49,0,0,0,0
 48-58,0,0,0,1.34,0.7,0,0,0,1.44,0.82,0.4,0,1.4,0,0,0,0,0,1.05,0,0,0
 60-70,0,0,0,0.71,0,0,4.58,0,5.83,0,0,0,0,4.18,0,0,0,0,0,0,0,0
 72-82,0,0,0,3.2,0,0,6.08,0,6.79,0.56,0,0,1.59,0,0,0,0,0,0,2.34,0,0
 84-94,0,0,0,0.96,1.01,0,5.45,0,1.27,2.17,1.8,0,0,1.89,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.77,0,0,9.81,0,18.39,0,5.06,0,1.79,0.76,0,3.39,0,0,0,0,0,0.8
108-118,0,0,0,6.2,1.29,0,4.64,0,5.32,2.15,0.68,0,0,1.21,0,0,0,0,0,0,0,0
120,0,0,0,0,10.94,0,0,0,26.13,2.7,23.99,0,0,0,0,0,0,0,0,0,0,0
