stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,somites
  3-4,0,9.62,0,0,0,0,0,0,0,0,0,0
  5-6,7.01,157.5,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.34,7.28,0,9.94,0,0,75.22,63.44,3.26,0,0
 10-12,0,0,19.51,0,0,0,0,37.4,11.87,0,5.21,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.93
 24-34,0,0,0,0,0,0,0,0,0,2.38,0,0
 36-46,0,0,0,0,0,0,0,0.95,0,0,0,0
 48-58,0,0,0,0,0.78,0,0,3.66,0,0.42,0,0
 60-70,0,0,0,0,0.75,0,0,3.79,0,0,0,0
 72-82,0,0,0,0,0.7,0,0,4.52,0,0,0,0
 84-94,0,0,0,0.95,0,0,0,2.3,0,0.6,0,0
 96-106,0,0,0,0,1.39,0,0,3.66,0,6.03,0,0
108-118,0,0,0,0.68,0,1.1,0.62,0,0,24.65,0,0
