stage,axial,blastomeres,endoderm,erythrocytes,neural,notochord,paraxial.mesoderm
  3-4,9.36,296.07,0,0,0,0,0
  5-6,9.55,134.33,0,0,8.03,0,9.41
  7-9,0,0,0,0,25.26,5.66,20.79
 10-12,0,0,7.11,14.23,61.62,0,7.5
 72-82,0,0,0,0,3.26,0,0
