stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,21.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.75,0,0,4.98,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.01,3.22,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.95,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.25,282.54,6.18,0,0,130.84,0,0,0,5.68,0,68.02,0,0,0,0,0
 14-21,0,0,0,0,8.88,18.77,10.12,0,0,0,0.89,0,0,0,1.43,0,0,0,2.94,71.35,0,911.63,197.91,135.63,0,3.35,9.64,0,0,185.12,0,3.03,1602.73,134.97,0,7.57,0,0
 24-34,0,0,0.75,0,2.66,2.72,15.9,8.76,0,8.07,1.81,0,1.15,0,6.32,1.34,0,0,0,84.41,0,583.45,498.55,675.08,0,36.81,0,0,1.49,0,0.61,0.98,151.4,155.42,0,14.25,0,0
 36-46,0,0,0,0,0,0,11.58,0,0,7.86,4.68,0,0,0.89,0,0,0,0,0,194.43,0,59.82,400.49,354.79,0,44.84,0,0,11.56,0,0,0,1.34,13.48,0,7.51,0,1.45
 48-58,0,0,0,0,1.91,0.45,32.45,8.09,3.3,0.85,3.37,0,0,0,0.56,0,0,0,0,132.18,0,24.35,202.87,242.83,0,66.21,0,0,0,0,0,6.29,0,29.36,0,4.41,0,0
 60-70,0,0,0,0,0.63,0,32.73,2.03,0,4.52,5.88,0,0,0,2.76,0,0,0,0,253.04,0,15,176,77.61,0,44.6,0,0,0,0,0,0,0,14.32,0,20.14,0,0.96
 72-82,0,0,0,0,1.12,0,82.86,0.82,0,2.33,80.11,0,0,0,0,0,0.55,0,0,187.04,0.57,24.88,179.34,109.71,0,90.2,0,1.67,0,0,0,0,0,11.1,0,4.49,4.08,0
 84-94,0,0,0,0,0,0,70.37,0,0,1.18,32.49,0,0,0,1.92,0,2.21,0.73,0,242.56,0,26.71,122.81,149.05,0,61.88,0,0,0,0,0,0,0,35.26,1.79,1.54,2.19,0
 96-106,0,0,0,0,6.23,0,80.18,2.59,0,4.47,62.23,2.68,0,0,1.14,0,0,0,0,181.46,0,11.97,122.77,156.81,0.76,179.34,0,1.44,0.79,0,0,0,0,10.33,0,5.78,2.51,0
108-118,0.56,0,0,0,6.89,1.34,37.34,0,0,3.86,61.99,2.94,0,0,1.5,0,0,0,2.53,283.39,3.09,41.99,150.56,94.12,0,109.99,0,4.57,0,0,0,1.21,0,5.78,7.67,0.59,2.47,0
120,15.11,0,0,0,4.62,7.49,75.75,0,0,7.44,51.56,0,0,0,0,0,0,0,0,185.54,0,42.09,80.82,166.09,0,31.75,0,0,0,0,9.87,0,0,0,0,9.96,0,0
