stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,211.74,2487.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.83,0,0,0,0,0,0,0,0,0,0
  5-6,191.05,4619.83,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,197.34,47.11,0,0,96.33,64.34,0,0,0,0,0,0,0,0,0,0
  7-9,54.23,98.2,0,68.85,0,0,172.52,0,0,0,0,49.01,0,0,0,0,0,0,0,0,0,2061.28,93.41,0,0,737.85,3.92,7.71,0,0,0,0,0,0,0,0,0
 10-12,0,49.66,0,80.78,0,6.13,150.85,0,0,0,0,9.54,0,0,0,0,0,0,0,0,0,1515.58,12.1,0,0,400.12,0,0,0,43.83,0,0,3.51,0,0,0,0
 14-21,0,0,0,11.56,45.05,13.46,46.47,0,0,16.78,2.12,1.86,0,0,0.9,0,0,1.84,38.97,0,18.63,848.76,9.13,1.22,3.55,14.41,5.3,0,65.13,1.95,2.58,39.85,226.59,0,4.33,0,0
 24-34,0,0,0,0,9.71,0,62.19,0.86,0.86,5.12,0,0,1.01,2.49,0,1.56,0.99,0,31.82,0,14.93,580.39,0.62,1.24,7.04,0,6.45,0,0.71,0,0,1.25,117.26,0,6.64,0,0
 36-46,0,0,0,0,2.68,0,93.14,0,0,12.53,0,0,0.75,0.96,0,1.48,0,0.62,28.7,0.67,5.55,412.06,0,1.56,1.74,0,9.5,0,0,0,0,1.09,74.94,0,0.78,0,0
 48-58,0,0,0,0,10.01,0,127.39,0,0.98,19.49,0.46,0,0.95,0,0,3.95,0,0,28.36,2.56,4.76,190.41,0.4,0,2.05,0,4.15,0,0,0,0,0,42.88,0,0.95,0,0
 60-70,0,0,0,0,3.66,0,71.02,6.9,0,7.11,0,0,0,2.21,0,0,0,0,28.72,0.63,2.92,100.48,0,0,1.2,0,0,0,0,11.06,0,0,6.71,0,0.67,0,3.49
 72-82,0,0,1.09,0,1.47,0,36.07,0,0,18.07,0.7,0,0,0,0,0,1.7,0,27.45,0.67,9.77,44.96,0,0.51,0.51,0,0.58,0,0,0,0,0,6.58,0,4.65,0,0
 84-94,0,0,0.66,0,1.21,0,22.44,0.6,5.3,3.89,1.73,0,1.81,0,1.6,0,0,0,33.94,3,5.83,48.39,0,0,2.47,0,2.75,0,0,0,0,0,4.13,0,0.78,0.91,0
 96-106,0,0,0.99,0,2.03,0,25.72,0,1.62,12.3,2.28,0,3.52,0,0,0,0,0,27.56,9.52,2.9,34.2,0,0,0,0,3.48,0,0,0,0,0,12.64,0,1.65,0,0
108-118,0,0,0,0,5.33,0,29.87,0,0,24.59,0,0,0,0.44,0.44,0.63,1.2,0,29.94,0,12.5,119.58,2.56,1.74,1.04,0,1.69,0,0,0,0,0,6.26,0.5,3.81,0,0
120,0,0,0,0,12.22,0,27.53,7.83,0,43.08,0,0,0,0,1.4,0,0,0,10.2,0,0,36.85,0,0,2.44,0,0,0,0,1.42,0,0,4.39,0,3.75,0,0
