stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,taste
  3-4,0,450.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18,0,0,0,0
  5-6,31.04,600.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,9.1,0,0,0,0
  7-9,25.5,5.3,8.18,0,0,36.27,0,0,34.52,0,0,0,335.92,14.63,0,0,112.36,0,0,0,0,0
 10-12,0,4.1,27.09,0,0,3.58,0,0,6.61,0,0,0,281.5,0,0,0,65.98,0,4.76,18.68,0,0
 14-21,0,0,0,0.99,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,2.54,0
 24-34,0,0,0,1.45,0,0.91,0,0,0,0.71,1.45,0,6.53,0,0,1.63,0,1.58,0,0,0.66,0
 36-46,0,0,0,1.08,0.9,0,1.03,0,0,0,0,0.61,2.47,0,0,0,0,6.29,0,0,0,0
 48-58,0,0,0,0,0,2.29,0.38,2.57,0,0,0,0,9.18,0,1.18,0,0,1.24,0,0,0,0
 60-70,0,0,0,0,0,1.93,0,0,0,0,2.94,0,1.06,2.55,0,3.28,0,5.42,0,0,0,0
 72-82,0,0,0,2.83,0,4.14,0,1.13,0,0,0,0,0,0,0,2.28,0,2.53,0,0,0,0
 84-94,0,0,0,0,0,2.03,0,2.63,0,1.07,3.95,0,0.86,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.98,13.62,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,1.17
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0.74,0,1.87,0,1.54,0,0
120,0,0,0,4.3,0,0,0,0,0,0,0,0,1.79,0,0,0,0,3.8,0,0,0,0
