stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24,0,0,0,0,0,0,0
 14-21,0,0,0,3.39,18.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,4.09,1.44,0,0,0.74,0,0,0,0,10.92,0,0,0,0,0,0,0,7.72,0,0,0,0,0,0,0,3.46,0,0,0,0,0
 36-46,0,0,0,0,9.86,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,0,0,0,0,0,0,0,0,0,0,4.08,0,0
 48-58,0,0,0,0,24.84,135.3,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.05,6.39,3891.27,0,0,1.9,13.24,0,0,0,0,0,0,0,6.35,0,0,0,34.33,0,0,0,0,0,0,0,0,0,0,5.3,0,0
 72-82,0,2.02,0,43.32,14.69,11510.13,0,0.72,8.73,112.08,0.63,1.99,1.67,1.8,0.62,0,21.3,15.94,0,0.96,1.76,349.28,0,2.11,0,1.3,0.57,0,0,9.34,0,0.49,1.67,1.28,1.38
 84-94,0,2.44,0,22.87,18.72,8188.74,0.56,4.78,0,181.81,0.69,0,0,0,1.55,0.73,2.55,16.53,0.71,6.95,0,237.13,1.25,0,3.31,0,10.36,0,0.81,17.42,3.97,1.28,1.28,2.5,0
 96-106,0,2.73,0,40.75,18.99,12794.03,0.57,4.49,0,177.86,1.22,2.19,20.49,7.57,7.73,1.74,35.17,36.61,0,2.11,0,205.74,0.82,0.57,3.64,3.89,8.89,0,0,5.9,4.97,0,6.31,3.09,26.7
108-118,0,0,0,67.27,24.15,10028.28,1.39,1.06,2.66,128.34,0.45,0,4.32,1.5,1.01,0,12.27,33,0,5.54,13.08,255.4,1.6,2.69,0,0,1.15,0,0,0,1.42,0,0,1.63,0
120,0,0,0,20.58,19.35,4936.22,0,6.79,1.66,144.9,1.38,0,0,2.26,0,0,0,41.87,2.91,0,5.53,327.69,0,8.47,11.29,0,0,0,0,11.04,0,0,0,0,0
