stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.36,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.95,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,21.45,0,0,45.38,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,22.7,2.55,0,12.31,0,0,0,15.91,0,0.89,0,0,0,0,0,23.21,0,18.59,234.36,1.69,0,0,3.23,0,0,10.27,0,32.97,61.03,0,0,0.9,0,0
 24-34,0,2.12,7.68,1.39,0,13.86,0,0,1.53,17.21,0,3.19,0,0,0,0,0,85.38,0,34.65,728.68,1.82,0,2.82,0,0,0,0.71,0,2.67,235.32,0,0,2.25,0,1.93
 36-46,0,0,12.31,0,0,22.68,0,0.89,4.54,67.9,0,0,0,0,0,1.25,0,111.63,3.45,26.2,507.8,0.56,0,4.09,0,0,0.66,0,0,0,182.23,0,5.7,3.88,0,0
 48-58,0,0,8.25,0,0,21.31,2.73,0.41,2.55,69.74,0,0,0,0,0,0,0,119.7,11.75,13.03,168.4,0.5,0.8,2.91,0,0.53,2.84,0,0,0,110.06,0,0.99,1.7,0.9,1.07
 60-70,0,0,1.49,0,0,31.15,0,0.96,0.67,84.69,0,2.78,0,0,0,3.37,0,228.21,22.91,17.18,133.28,0,0,0,0,2.16,0,0,9.83,0,22.3,0,7.79,1.55,5.35,0
 72-82,0,0,5.35,0,0,27.29,0,0,1.54,101.32,0.72,0,0,0,0,1.05,0,246.82,14.24,8.91,112.01,0,0,0,0,1.77,0,0,0,0,30.93,8.41,7.54,3.8,38.79,0
 84-94,0.84,0,19.87,0,0,31.9,9.31,0,2.36,79.62,0,1.22,0.87,2.52,0,0.73,0,297.87,19.22,17.57,81.39,2.06,0.81,0.73,0,2.32,3.85,0,0,0,9.71,0.55,21.62,3.47,30.72,0
 96-106,0.9,0,13.91,0,0,27.83,0.62,0,0.81,80.87,1.03,0.95,0.74,0,0.63,0,8.31,269.38,14.33,17.92,60.07,0.58,0,3.47,0,0,2.9,0,1.71,0,9.35,1.68,11.67,0.57,24.22,0
108-118,0,0,23.26,1.1,1.91,22.13,0.58,0.43,0,70.46,0,0,0,1.39,0,0,4.79,252.18,12.45,12.87,77.52,1.51,2.17,6.61,0,17.21,0,0,0,0,18.23,1.01,10.06,2.35,33.38,0
120,0,0,6.2,2.43,0,52.97,0,0,2.81,149.69,0,0,0,0,0,0,0,281.87,7.99,4.06,116.14,0,0,0,0,19.37,0,0,1.2,0,5.93,0,1.95,0,17.9,0
