stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,77.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,138.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.07,8.39,0,0,21.24,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.81,4.29,0,0,13.79,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9.71,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41,0,0,0.92,70.24,0,0,0,0,0,1.04,0,0,0.88,24.09,0,0,0,0,0
 24-34,0,1.6,0.7,0,0,3.77,0,2.1,0,0.89,0,0,0,0,15.78,0,0,0,0,75.58,0,0,1.45,253.24,6.67,1.03,0,0,4.25,0,0.61,0,0.88,97.11,0,0,7.21,0,0
 36-46,0,0,0,1.12,0,3.09,0,0,0,14.71,0,0,0,0,0.6,1.32,0,0,0,94.7,0,0,3.42,515.92,0,6.77,0,0,0,0,2.03,0,0,75.01,0,0,6.97,0,0
 48-58,0,0,20.35,0,0,46.79,0,0,0.64,39.73,0,2.12,0,0,5.92,4.44,0,0,0,104.17,0,0,0,817.87,2.48,8.63,0.44,0,0.89,0,0,4.36,0,107.9,0,0.44,12.44,0,5.37
 60-70,0,0.91,11.78,0,0,139.4,0,3.17,0,113.45,0.62,0,0.88,2.37,0.6,0,0,0,2.33,94.77,0,0.66,4.47,1787.99,0,8.25,0,0,3.15,0,7.12,0,0,243.04,0,1.96,3.79,3.29,6.52
 72-82,0,0.61,7.5,2.77,0,293.43,0,5.77,1.65,165.24,0,0,0.58,0,1.59,0,0.74,0,2.19,236.88,0,12.61,4.13,2226.84,9.68,6.57,4.36,0,1.81,0,0,3.45,0,179.08,0,2.76,49.81,9.79,0
 84-94,0,1.62,7.66,5.56,0,256.49,0,0.79,3.38,144.44,4.02,0,0,0,0,1.34,0,0,0,179.48,0,7.51,2.03,1562.06,0,14.22,0,0,6.28,0,0,0,0,113.03,0.85,1.06,9.38,46.14,9.97
 96-106,0,0,17.73,6.15,0.92,254.3,0,1,0,139.93,1.76,0,0,2.38,0.92,1.9,1.13,0,0,188.5,0,8.1,3.99,1484.61,0.64,0,0,0,14.15,0,0.71,0,0,93.23,2.75,7.27,25.14,20,0
108-118,0,0,24.73,0,3.08,241.65,1.45,2.03,2.21,145.03,3.47,0,0,0.42,1.87,1.96,0,0.6,8.6,215.69,0,6.82,0,2076.28,0,5.61,0,0,1.07,0,0,0,0,46.12,0.89,2.33,10.05,42.23,2.22
120,0,2.94,27.91,5.28,0,512.47,12.08,4.08,0,200.21,16.75,5.2,10.58,11.82,2.37,0,0,9.22,0,271.4,1.56,10.75,6.61,5313.12,0,13.06,22.57,0,11.89,0,0,0,0,144.7,0,0,53.04,53.62,0
