stage,blastomeres,epidermis,eye,glial,gut,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  5-6,24.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.73,0,0,0,0,0,51.23,0,0,9.7,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,17.56,0,0,0,0,0,0,0,0,0
 14-21,0,2.98,2.11,0,0,0.81,0,0.84,14.58,0.98,0,0,0,1.02,1.67,4.61,5.18,0
 24-34,0,0,1.02,0,0,0,0.82,0.75,14.82,0,0.78,0,0.85,0,0,0,0.65,0
 36-46,0,0,8.58,0.83,0,0,0,0.61,19.11,0,0,0,0,0,0,0,3.05,0
 48-58,0,0,4.65,1.42,0,0.66,0,0.54,9.82,0,0,0,0,0,0,0,0.5,0
 60-70,0,0,2.14,0,0,0.59,0,0,3.8,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.64,0,0,1.51,0,0,1.11,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.64,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0.91
 96-106,0,0,0,0,0,0,0,0,7.55,0,0,0,0.76,0,0,0,0,0
108-118,0,0,0,0,0.64,1.78,0,0,10.34,0,0,0,0,0,0,0,0,0
