stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,10.66,323.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.21,170.01,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,6.07,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.95,0,0,0,5.48,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.25,0,3.74,0,0,0,0,0,0,20.02,0,0,0,7.18,0,0,0,0,0,0,0,2.14,0,1.72,1.56,0,0,0,1.92
 24-34,0,0,0,0,1.65,0,4.46,0,0,0,0,10.92,14.82,0,0.77,5.69,0,0,0,0,0,0,0,0,0,0.73,2.03,0,0,0,0
 36-46,0,0,0,0,0.61,0,0.62,0,0,0,0,2.91,68.27,1.01,0,4.04,13.83,0,0,0,0,0,0.73,0,0,0,5.08,0,0,0,0
 48-58,0,0,0,0,4.41,0,3.37,0,0,0,7.78,0,154.5,0,0.85,16.58,0,0,0,0,0,0,0,0,0,0,4.48,0,0,0.41,0
 60-70,0,0,0,0,9.44,0,21.37,0,0,0,3.68,0,158.92,3.72,0,4.55,0,0,0,0,0,7.55,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.68,0,29.16,0,0,0,2.89,5.37,114.8,12.1,0,4.9,0,0,0,0,0,0,0,0,0,0,5.39,0.87,0,0,3.54
 84-94,0,0,0,0.61,8.59,0,18.91,2.25,0,0,2.59,0,158.76,0,0,2.96,0,0.56,0,0,0,0,0,0,2.33,0,0,1.21,0,0,0
 96-106,0,0,0,0.6,10,1.14,15.11,0,0,0,2.92,2.01,119.44,5.72,0,7.81,0,0,0.6,0,0,1.34,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,19,0,15.85,0.86,0,0,10.7,0,137.62,2.3,0,10.24,0,0,0,0,3.28,1.03,0,0,0,0,1.33,0,1.77,0,0
120,0,0,0,0,16.18,0,16.02,0,1.75,3.6,0,0,53.09,0,0,1.62,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0
