stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.63,80.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.66,148.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.43,0,4.01,0,0,0,10.74,0,0,0,0,0,12.55,0,0,0,0,0,0,0,0,0,0,162.57,0,0,0,61.69,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.22,15.37,0,0,0,10.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.41,3.08,0,0,78.48,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9.58,37.33,3.81,0,9.85,0,1,0,2.73,1.72,0,0,0,0,0,0,0.92,0.88,41.29,0,7.5,82.63,0.86,0,5.55,1.82,0,0,18.86,2.55,0,19.56,42.39,0,0,0.98,0,0
 24-34,0,0,0.6,24.09,0,0,6.69,0,0,2.76,0,0.67,0,3.31,0,0,0,0.67,0,2.74,57.49,0.81,8.74,97.24,0.62,2.17,2.11,0,0,1.54,0,0,1.74,0,31.57,0,0,0.77,0,0
 36-46,0,0,0,8.03,4.4,0,4.6,0,0,0.72,13.19,0.56,0,6.19,0,0,0,0.56,6.07,0,69.45,4.37,13.55,71.06,5.15,0,0,0,0,3.71,0,0.79,0,0,44.3,0,0,4.15,0,0
 48-58,0,0,0,21.64,0,0,12.64,0,0.51,0.45,19.66,0.51,0,2.17,0,0,0.79,0,0,0,47.38,1.28,10.02,57.02,0,0,1.03,0,0,0,0,0,9.32,0,32.56,0,0.85,3.69,0,0
 60-70,0,0,0,23.49,0,0,8.86,0.68,4.66,0,16.81,2.64,0,8.14,4.72,0,0.67,0.84,0,0,55.24,0,8.05,69.72,0,1.1,3.31,0,1.19,3.96,0,0,0,0,21.68,0,2.54,0,0.59,0
 72-82,0,0,0,25.66,3.55,0,22.21,0.59,0.71,4.68,45.4,5.47,0.59,1.95,3.94,0.53,4.27,0.95,0,0.5,114.44,4.89,11.61,71.06,0,0.74,1.14,0,0,0,0,0.51,0,0,8.41,0.5,1.42,3.24,0,4.14
 84-94,0,0,0,25.45,0.84,2.83,14.95,0,3.03,1.77,15.18,3.46,0,0,10.16,0,4.01,0,0,0,80.01,1.79,4.73,30.34,0,0,1.56,0,6.05,1.4,0,0,0.63,0,10.07,0,5.14,2.64,5.86,0
 96-106,0,0,0,27.74,0,0,11.15,0,2.2,0,31.58,1.65,0,2.22,18.63,1.92,5.73,1.17,0,0,108.34,3.67,1.11,44.86,0,0,1.65,0,3.25,11.53,0,0,0,0,0,3.96,4.97,8.68,6.31,1.4
108-118,0,0,0,35.03,1.18,0,20.02,0,1.62,4.4,34.15,1.55,0,2.12,26.26,4.28,7.99,1.63,0,0,133.09,3.16,6.76,53.19,0,0,3.27,0,2.27,3.48,0,0,0,0,3.43,3.79,6.12,6.09,7.35,0.64
120,0,0,0,55.53,2.01,0,20.38,0,2.16,0,58.88,2.95,0,2.63,39.07,0,17.02,0,0,0,192.38,7.53,8.62,46.06,0,0,9.74,0,11,0,0,0,0,0,0,0,3.84,11.47,0,0
