stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.45,356.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.05,211.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.99,0,0,0,16.3,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.85,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.55,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,1.11,43.5,0,0.98,0,0,0,0,12.89,0,0,0,0,0
 24-34,0,0,2.31,2.1,0,0,7.04,0,0,0,0,0,0,0,0,0,0,8.8,0,1.58,563.12,0.64,27.11,0,0,1.14,0,66.78,0,0,0,0,0
 36-46,0,0,0,1.53,0,0,10.38,0,0,0.71,4.71,0,0,0,0,0,1.15,7.88,0,0,1119.53,0.56,24.3,0,0,0,0,124.89,0,0,0,0,0.67
 48-58,0,0,0,2.6,0,0,68.68,0,0,0,8.18,0.39,0,0,4.35,0.46,3.47,18.16,0,1.89,1694.2,0,26.05,0,0,0,0,168.02,0,0,4.77,0,0
 60-70,0,0,0,0.88,0,0,255.36,0,0,0,6.58,0,4.6,0,0,0,0,36.64,0,0,2014.04,0,31.35,0,0,0,5.72,215.66,0,0,0,0,0
 72-82,0,0,2.42,5.72,0.51,0,494.61,0,0,0,23.13,0,0.5,0,9.43,5.79,0,45.29,0,1.08,2385.59,0,49.36,1.09,0,0,2.48,166.17,0,9.27,0,0,0
 84-94,0,0,1.61,6.36,0,0,252.09,1.34,4.74,1.44,13.12,0,0.64,0,0,0,0.83,54.96,3.55,5.41,1563.02,0,45.16,0.68,0,0,0,144.86,0,0,0,0,0
 96-106,0,0,0.99,7.78,0,0,339.29,0,1.1,0,14.33,0,0,0.78,2.1,15.24,0.71,50.84,1.03,1.81,1366.63,0.69,59.14,2.85,0,0,2.63,47.06,0.61,1.93,0,1.99,0
108-118,0,0,0.98,7.97,3.49,2.55,293.81,0,0,0.53,15.47,1.46,5.24,0,2.19,0.7,0,30.64,1.21,1.6,1442.91,0.63,32.64,1.73,0,6.74,2.61,42.92,0,1.52,0,0,0
120,0,0,0,18.02,0,0,315.67,0,0,0,42.8,0,0,0,1.05,1.5,0,45.23,0,4.57,1476.02,0,24.36,0,0,0,0,43.98,0,1.54,6.49,0,0
