stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,16.38,0,0,4.01,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,13.61,0,0,15.31,0,0,0,6.54,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0.82,0,0,0,0
 24-34,1.14,0,0,2.58,0,0,0,0,0,0,0,0,15.35,0,0,0,0,0,0,0,0.87,1.05,0,0
 36-46,0,0,0,1.92,0,0,0,0,0,0,4.04,0,10.87,0,0,0,1.29,0,0,0,2.59,4.38,0,4.93
 48-58,0,0,0,3.36,0,0,0.87,0,5.12,0,1.71,0,9.8,0.5,0,0,0,0,0.45,0,3.06,4.47,0,0
 60-70,0,0,0,0,0,0,0,0,11.86,0,8.09,0,1.12,0,0,0,1.03,0,0,0,0,1.82,0,0
 72-82,0,8.11,0,0.71,0,0,2.61,0,1.32,0,5.59,0.51,9.67,0,0.56,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,21.17,0,0,0,0,3.31,0.58,0.67,0,2.21,0,0,0,1.33,0,0,0,0,3.32,0,0
 96-106,2.58,0,0,1.79,7.66,3.66,2.23,1.77,3.26,9.08,11.28,1.61,13.4,0,0,0,0,0,0,0,0,0.79,1.55,0
108-118,0.85,0,0.55,1.58,0.7,0,1.43,0,9.9,0,0,0,12.72,0,0,0,0,0,0,0,0,0,0,0
120,1.44,0,0,0,0,0,22.67,0,9.44,0,6.39,0,4.05,0,0,0,0,1.04,0,0,0,0,0,0
