stage,epidermis,erythrocytes,eye,fast.muscle,glial,heart,iridophores,mesenchyme,muscle,neural,periderm,somites,spinal.cord,vasculature
 14-21,1.79,1.24,1.11,0,0,0,0,0,0,3.92,0,0.86,0,0
 24-34,0.63,0,2.26,0,0,0,0,1.62,0.74,12.69,0,0,0.87,0
 36-46,0,0,2.57,0,1.5,0.6,0,3.06,0.74,17.99,0,0,2.27,0
 48-58,0,0,3.8,0,1.27,0,0,1.56,0.53,11.75,0,0,0,0
 60-70,0,0,10.28,0,5.64,0,0,0.7,0,18.71,0,0,0,1.92
 72-82,0,0,2.66,0,1.15,0,0,4.02,0,15.9,0,0,0,0
 84-94,0.56,5,3.47,0,3.5,0,0,2.45,0,10.3,1.22,0,0,0
 96-106,0,0,5.69,0.64,4.56,0,0,0.61,0,2.73,0,0,1.95,0
108-118,0,0,4.47,1.5,0.68,0,0,9.47,0.9,8.18,0,0,1.97,0
120,0,0,0,0,0,0,1.91,14.97,0,20.52,1.01,0,0,0
