stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,367.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.72,191.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.82,0,0,0,0,0,4.16,10.27,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,27.56,0,12.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.04,29.64,0,0,45.28,0,5.07,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9.79,0,47.06,30.14,44.3,0,1.76,0,1.2,0,17.75,1.26,14.33,384.1,1.85,0,20.2,39.98,13.13,29.46,0,17.42,242.47,167.1,15.31,2.61,0.94,0,32.73,1.23,10,13.5,16.72,16.44,123.98,0,0,13.15,0,57.23
 24-34,0,0,5.26,1.21,25.62,53.36,137.59,0,9.17,0.71,13.05,0,3.71,7.38,61.78,911.13,2.28,0,10.12,269.6,37.18,106.83,0,6.76,1131.02,26.49,96.09,10.83,0,0,84.9,0,0.76,20.6,0.87,4.05,331.04,0,0,113.23,0,237.01
 36-46,0,0,1.64,0,14.35,13.85,184.56,0,2.32,1.41,40.54,0,3.79,2.5,75.07,386.85,8.23,1.18,8.14,302.77,30.58,36.73,0,4.97,1907.19,16.14,115.36,9.27,0,0,96.75,1.46,0,12,16.48,0,431.21,0,0,42.99,0,149.73
 48-58,0,0,3.63,0,21.12,14.88,514.93,0.58,8.39,0.41,87.85,0.89,1.01,1.93,64.25,96.33,11.88,3.62,12.25,212.05,54.64,8.57,1.01,10.37,2196.94,6.66,56.56,26.04,0,0,56.29,0,0,6.3,0.61,0,387.7,0,0.42,30.63,0,215.83
 60-70,0,0,0.57,0,21.76,23.01,1229.51,0,7.55,13.26,141.77,2.14,1.75,0,114.54,123.9,38.39,11.54,2.12,76,66.95,18.86,5.24,5.59,3002.78,4.36,79.54,15.45,0,0,103.89,0,0,8.81,3.35,0,349.57,0.81,4.78,28.77,1.25,188.71
 72-82,0,0,10.65,0.56,36.22,36.24,1858.44,0.59,4.01,5.4,181.58,14.74,0.52,2.31,72.98,191.66,42.23,12.91,2.43,39.88,147.91,23.09,4.99,1.33,3276.18,4.38,109.79,45.26,0,3.49,68.27,0,0,13.31,0,0,243.76,7.11,2.32,34.18,7.22,146.96
 84-94,0,0,10.37,0,52.17,48.83,1548.96,2.25,20.17,7.84,141.56,17.03,1.34,0,95.82,343.97,24.63,8.11,13.52,43.66,85.68,15.11,5.42,3.58,1964.67,0.61,72.19,62.66,0,0,146.88,0,0,23.84,0,0,172.78,5.94,7.83,47.52,7.2,60.64
 96-106,0,0,1.08,0,79.1,73.81,1600.17,7.23,5.08,10.16,186.97,39.22,1.06,0.62,105.9,340.3,28.28,37.06,22.47,24.97,104.32,27.05,17.06,2.22,2163.08,3.02,130.88,63.33,0,4.12,208.2,0,0,23.58,0.6,0,77.59,24.97,4.44,54.34,3.98,62.49
108-118,0,0,3.26,0,76.64,47.07,1188.91,0,8.78,5.58,140.97,24.35,0,0,98.78,260.39,31.07,9.76,13.14,47.1,93.29,6.78,7.98,3.26,2834.55,2.53,72.27,55.28,0,5.37,117.35,0,0,14.32,0.97,0,71.4,16.24,0.99,18.9,8.82,61.04
120,0,0,5.55,0,44.62,36.13,807.03,0,10.97,1.26,101.25,48.39,0,5.1,162.01,144.78,20.51,11.95,11.73,25.24,73.74,16.98,1.45,7.82,3643.93,1.45,105.52,101.27,0,3.68,125.7,0,0,15.1,0,0,47.66,7.7,0,13.36,14.08,6.29
