stage,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,neural,otic,periderm,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,1.79
 24-34,0.76,0.99,0,0,0.67,0,0,0,0,0.64,10.23,0,0,5.71
 36-46,0,1.84,0,0,0,0,0,0,0,0,19.18,0,2.93,2.77
 48-58,0,7.12,0,0.98,0,0,0,0,0,0,28.3,0,0,7.5
 60-70,0,8.3,0,0,0,0,0,0,0,0.75,16.85,0,0,8.58
 72-82,0,8.36,0.78,0,0.57,0,0,0,0,0,23.53,0,0,0
 84-94,0,15.94,0,0,0,0,0.75,0.58,0,0,16.39,0,0,4.03
 96-106,0,0.62,0,0,0,0,0,0,0,0,29.55,0.6,0.93,0
108-118,0,16.76,0,0,0,3.47,0,0,0.47,0,17.14,0,0,0
120,0,7.24,0,0,0,0,0,0,0,0,0,0,0,1.53
