stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,20.88,219.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.79,68.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.17,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,3.47,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.56,4.22,0,24.24,0,0,0,0,0,0
 14-21,0,0,0,0.92,0,2.24,0,0,0,0,1.08,0,0,0,0,0,0,14.92,3.55,0.92,0,0,0.81,0,1.21,3.2,0,0
 24-34,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.92,0,0,4.64,0,0,0,0,0,0,0.64,0.87,0
 36-46,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0.57,0.55,0,0,0,0,0,0,3.93,0,0
 48-58,0,0,0,0.39,0,0.52,0,0,0,3.12,0,0,0,0,0,0.51,0,4.45,1.57,0,0,0,0,0,0,0.59,0,0
 60-70,0,0,0,0,0,126.1,0,0,0,0.72,0,0,1.16,0,0,1.51,0,0,4.01,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.56,0,1.69,676.5,0,0,0,0,0,0,0,0,0,1.91,0,0,5.03,0,0.76,0,0,0,0,0,2.05,3.97
 84-94,0,0,0,2.58,4.5,694.26,0,0,0,4.16,0,0,0,0,0,1.92,0,2.14,7.87,0.62,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,774.39,1.53,0,0.65,1.53,0,1.16,0,3.91,3.66,3.42,0,0,12.69,0,0,0,0,0.6,0,0,0,0
108-118,0,0,0,8.92,2.63,645.39,0,1.77,0,4.06,0,1.1,0,0,0,5.63,0,0.59,8.99,0,0.98,0,0,0,0,0,2.61,0
120,0,0,0,0,0,863.56,0,0,0,0,0,0,0,0,0,0,1.1,2.34,8.73,0,0,0,0,0,0,0,0,0
