stage,blastomeres,erythrocytes,eye,gut,ionocyte,lateral_line,liver,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm
  5-6,12.49,0,0,0,0,0,0,0,0,0,0,6.17,0
  7-9,0,0,0,0,0,0,0,0,10.16,0,0,3.74,0
 24-34,0,0,0,0,0,0.78,0,2.65,1.65,0.68,10.17,0,0
 36-46,0,0,0,0,0,1.5,0,2.66,0.79,0,6.99,0,0
 48-58,0,0,0,0,0,4.63,0,0,0,0,5.33,0,0
 60-70,0,0,0,0,0,6.93,0,2.92,0,0,59.73,0,0
 72-82,0,0,6.1,1.09,0,18.49,0,0,6.16,0,40.69,0,0
 84-94,0,0,3.29,0,0,38.9,0,0,2.38,0,88.82,0,4.83
 96-106,0,9.89,1.8,0.76,0.92,50.78,0.72,0,0,0,132.29,0,0
108-118,0,0,0,0,0,42.64,3.28,0,7.75,0,123.63,0,7.1
120,0,0,0,0,0,50.72,0,0,13.87,0,161.41,0,0
