stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,0,247.4,0,0,0,0,0,0,0,0,0,0
  5-6,10.01,203.16,0,0,0,0,0,0,0,0,0,0
  7-9,5.09,0,3.64,0,13.05,6.87,0,101.51,3.49,0,0,0
 10-12,0,0,8.21,0,7.45,4.34,0,3.61,5.08,0,3.64,0
 14-21,0,0,0,1.17,0,0,0.9,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.36,0.65,0,0,0,0
 48-58,0,0,0,0,0.82,0,0.47,0,0,0,0,0.9
 60-70,0,0,0,0,2.9,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.74,0,0,0,0
 84-94,0,0,0,0,0,0,1.7,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,1.23,0,0
