stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,liver,mesenchyme,mural.cell,neural,olfactory,periderm,spinal.cord,xanthophores
  3-4,19.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.13,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.85,0,0,1.9,0
 48-58,0,2.04,0,0,0,0,0,0,0.38,0,2.95,1.2,1.89,0,0
 60-70,0,0.71,0.58,0,0,0,2.96,0,1.1,0,2.31,0,0,0,0
 72-82,0,0,0,0,0.77,0.54,0,0,0,0,7.58,0,0,0,0
 84-94,0,0,0,4.72,1.98,0,4.34,0,0,0,0,0,4.48,0,0
 96-106,0,0,0,7.09,0,0,2.61,0,2.35,0,0,0,3.47,0,0
108-118,0,0.47,0.99,0,0.51,0,1.48,0,1.07,0,1.1,1.5,0.91,3.21,1.44
120,0,0,0,0,0,1.18,0,1.5,13.86,2.47,0,0,5,0,0
