stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,25.39,314.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0
  5-6,9.53,491.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04,0,0,0,0,0,0,0
  7-9,4.3,0,13.34,0,0,106.69,0,0,0,0,13.13,0,0,0,0,0,0,0,0,0,537.3,4.85,0,147.61,0,7.58,0,0,0,0,0,0
 10-12,0,17.44,41.04,0,0,99.34,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,601.22,10.22,0,173.77,7.2,0,0,13.4,0,0,0,0
 14-21,0,0,0,6.07,6.34,5.37,0,0,2.07,0,0,0,0,0,0.87,0,18.04,0,3.22,0,103.19,3.49,0.93,0,11.59,0.9,15.97,0.94,5.73,18.1,0,0
 24-34,0,0,0.6,2.72,2.33,22.54,0,0,3.82,0,0.67,1.21,0,0,0,0,4.81,1.17,7.92,0,69.3,5.38,0,0,35.98,0,0,0,0,17.13,0,0
 36-46,0,0,0,0,0.6,12.75,0,0,0,0,0,0,0,0,0,0,5.71,0,0,0,35.29,0,0,0,15.84,1.49,0,0,0,1.81,0,0
 48-58,0,0,0,0,0,18.84,0,0,0.45,0,0,0,0,0.49,0,0.54,3.53,0,0,0.66,14.72,0,0,0,0.39,0,0,0,0,0.37,0,0
 60-70,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.23,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.9,9.16,0,1.66,0.62,2.2,0,0,0.5,0,0,0,1.07,0,0,0,3.82,0,0,0,0,0,0,0,0,0.58,0,0
 84-94,0,0,0,0,0.84,3.56,0.62,0,0,0,0,0,2.39,0,0,0,0,0,0,0,6.64,0,1.19,0,0,0,0,0,0,0,0.62,0
 96-106,0,0,0,1.2,0,3.35,0,0,0,0.61,0,0,0,0,0,0,0,0,1.37,0,3,0,0,0,0,1.91,0,0,0,0,0,0
108-118,0,0,1.47,0,0,7.58,0,0,0.57,0.54,0,0,0.64,0,0,0,0,0,0,3.57,4.05,0,0,0,1.23,1.43,0,0,0,0.47,0,0
120,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,2.25
