stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,89.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,0,0,0,0,0,0,0,0,0,0,0
  5-6,145.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.47,0,0,0,7.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.76,0,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,62.42,4.81,0,0,11.58,0,0,0,0,13.92,0,0,0,0,0,0,0,0
 14-21,0,0,144.82,2.32,0,10.35,0,7.23,0,8.56,2.82,1.02,0,0,0.86,0,1.67,0,0.85,14.23,1.19,0,4,168.84,131.26,0,1.8,3.44,0,0,0.91,20,3.21,2.65,13.1,33.79,0,0,0.89,0,0
 24-34,0,1.71,612.27,0,0,16.78,0,291.61,15.45,3.95,0,0,0,0,0.64,0,4.45,0,0,159.72,6.74,0,165.52,234.2,52.32,2.81,2.69,0,0,3.01,0,0,16.28,0,3.49,29.87,0,0,4.28,0,1.12
 36-46,0,0,493.04,0,0,30.99,0,382.65,194.28,6.74,0.78,0,0,1.52,2.19,0,3.04,0,2.07,941.53,3.38,0,513.9,306.39,16.45,1.01,0,0,0,20.15,1.1,0,13.65,1.61,0,76.52,0,0.85,7.29,0,3.32
 48-58,0,0,232.46,0,0,114.31,0.78,382.43,368.35,12.99,0,0,1.23,0,0.5,0,2.07,0,1.95,1237.66,1.91,0.75,493.85,346.22,0.56,4.86,1.14,0,0.53,17.56,0,0,3.04,5.02,0,43.09,0,0,0,0,11.79
 60-70,0,0,70.29,0,1,290.31,0.61,151.82,242.29,20.14,0,0,0,1.42,0,0,0,5.95,10.52,1457.47,0,7.99,400.43,415.26,0,1.56,0.62,0,0,2.73,0,0,2.67,1.38,0,64.07,0,5.59,4.92,0.78,3.61
 72-82,0,0.5,42.08,0,0,237.26,3.32,93.52,351.49,70.83,0,0,0.68,2.18,0,0,0,0,0.64,1611.38,0.58,9.83,618.25,473.28,0,1.28,4.08,0,2.24,3.76,0,0,3.99,0,0,26.94,0,9.47,6.26,7.62,7.58
 84-94,0,0,75.38,0,0.92,259.51,2.62,95.87,280.59,58.29,3.52,1.5,1.1,0.57,1.33,0.82,2.7,1.64,0.98,1201.24,0,22.14,385.69,250.09,1.45,3.03,6.23,0,1.75,4.28,0,0,2.9,1.93,0,21.26,0,5.02,2.32,9.19,3.57
 96-106,0,0,47.44,3.21,0.72,313.9,1.72,64.48,116.1,50.06,6.36,0,3.79,6.68,0,1.83,4.14,2.91,0,1175.1,0.56,6.05,360.04,418,0,13.27,3.09,0,0.79,4.98,0,0,7.37,0.6,0,11.31,0,37.94,12.19,40.8,0
108-118,0,0.6,59.47,10.2,0,387.3,1.96,58.28,175.93,72.77,6.07,0,2.33,2.71,1.8,5.51,3.46,7.73,10.45,1400.22,0,8.48,341.78,438.44,0.43,4.28,16.71,0,2.34,4.18,0.63,0,5.64,3.61,0,22.71,0,77.29,21.01,25.2,20.99
120,0,0,39.05,2.02,0,219.03,1.54,44.17,142.82,30.6,2.12,0,0,1.75,0,1.91,2.6,3.69,0,1535.05,0,28.66,160.44,479.08,3.57,0,7.39,0,2.76,0,2.5,0,0,0,0,17.91,1.27,39.34,5.44,98.23,0
