stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,363.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,342.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.74,0,0,8.92,0,0,0,10.4,0,0,0,0,8.59,0,0,0,0,0,0,0,0,0,231.44,15.36,0,0,78.22,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.02,0,19.37,0,12.48,0,28.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.91,3.16,0,0,66.83,0,0,3.03,0,4.48,0,4.93,0,0,0,0,0,0
 14-21,0,0,0,2.81,3.16,0,0,0.88,0,0,1.05,0,0,0,0,0,0,0,0,1.21,0,1.05,138.02,1.73,0,0,0.85,0,0,0,5.55,0,3.84,29.6,89.09,0,0,0,0,0
 24-34,0,0,0.67,0,0.85,0,0,4.87,0,0,0.66,0,2.27,6.67,0,0,0,0,0,4.05,0,0,539.55,0,3.36,4.28,0,0,0.63,0,0,0,0,0.62,137.1,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,129.02,0,0,1.85,0,0,10.62,0,0,0,0,0,11.81,0,3.59,967.19,4.59,7.72,0.6,0,0,2.63,0,0,0,0,0,195.13,0,0,0,0,0
 48-58,0,0,0,0,10.79,0,0,252.46,0,1.11,17.08,0,0,20.94,0,0,0.95,0,0,11.73,0,0,1218.02,0,5.51,0,3.66,0,1.18,0,0,0.73,0,0,223.45,0,0,0.47,0,4.72
 60-70,0,0,0.57,0,6.4,0,0,436.98,1.06,0,18.31,0,0,50.95,0,0,0,0,0,9.17,3.05,0.71,1319.68,8.84,2.3,0.77,0,0,7.53,0,0,0,0,0,158.13,0,2.81,6.16,0,0
 72-82,0,0,0,0,6.6,2.01,0,464.32,0.55,0.61,22.69,0,0,43.76,0.59,0,0,1.32,0,16.53,0,0.71,1164.64,0,9.25,0,0,0,0.64,0,0,0,0,0,104.97,0.51,3.29,3.14,4.5,6.3
 84-94,0,0,0,0,6.19,0,0,335.47,0,0,10.95,0,0,22.38,0,2.01,0,0,0,11.04,8.93,4.89,827.55,0,3.64,0,0,0,0,0,0,0,0,0,52.67,0.9,10.37,11.55,15.06,0
 96-106,0,0,0,0,8.18,9.51,0,369.65,1,0.84,18.15,1.74,0,37.96,5.73,0,0,0,0,9.59,0,0.92,601.22,0,6.72,0.79,0,5.8,15.66,0,0,0,0,0,77.29,0,7.47,15.4,16.19,0
108-118,0,0,0,0,18.58,1.32,0,315.76,0,0,36.77,1.73,0,19.28,0,8,0,0,0,17.36,0.66,1.87,811.89,0,5.06,0,0,0,1.48,0,0,0,0,0,16.55,0,7.3,11.86,6.81,0
120,0,0,0,0,24.04,0,2.69,288.12,0,0,67.1,4.06,0,27.31,0,0,0,1.54,4.02,27.91,3.46,5.35,1092.04,1.33,11.8,2.56,0,0,2.19,0,0,0,0,0,7.05,0,22.57,0,33.22,0
