stage,eye,glial,lateral_line,mesenchyme,muscle,neural,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature
 10-12,0,0,0,0,0,13.15,0,0,0,0,0
 14-21,0.8,1.34,0,0,1.28,5.49,0,0,0.82,0,0
 24-34,1.71,0,0.68,2.8,0,22.07,0,2.75,0,2.09,0
 36-46,6.47,0,0,0.81,0,10.44,1.05,0,0,1.41,0
 48-58,2.63,0.99,0,0,1.04,6.34,0,0,0,0.67,0
 60-70,9.78,0,0,0,0,0,0,0,0,0,0
 72-82,0,1.09,0,1.26,0,2.08,0,0,0,0,1.02
 84-94,1.69,0,0,0.66,0,9.05,0,0,0,0,0
 96-106,0,0,0,1.47,0,1.08,0,1.87,0,0,0
108-118,0,0,0,2.85,0,0.63,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.81,0
