stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87,10.25,0,0,3.74,0,0,0,0,0,0,0,0
 14-21,3.44,4.22,0,0,0,0,0,1.92,0,0,0,0,0.96,0,0,1.05,0,0,0,0,0,6.54,1.24,1.97,0,2.49,0,0
 24-34,1.74,0,2.09,8.76,0,0,0,0,0,0,0,0,0,0,1.1,14.21,0,3.29,0,0,0,2.6,0,0,0,10.64,0,0
 36-46,0.86,0.58,12.08,7.29,0,0,0.79,2.35,0,0.78,0,0,1.7,0.55,0,8.06,0,1.95,0,0,0,0,0,0,0,30.51,0,0
 48-58,0,2.86,0,0.38,0.47,0,1.32,0.6,0.4,0,0,0,1.47,0,0.6,4.38,0.49,0,0,0,0,0.46,0,1.03,0,3.4,0,0
 60-70,0,0.67,7.24,0,0,0,1.25,0.66,0,0,0,0,0.65,0,0,2.92,0,0,0,0,0,0,0,2.06,0,10.03,0,0
 72-82,0,0,4.64,0,0,0,1.46,0,0,0,0.61,0,5.39,0,0,4.34,0,0,0.84,0,0,0,0,0,0,12.09,0,8.31
 84-94,0.67,0,2.62,0,0,0.77,6.36,3.49,0,0,0,0.95,0.91,0,0,0,0,0,0,0,6.05,2.1,0,0,1.05,17.01,0,0
 96-106,13.21,0.72,0,4.47,0,0,1.92,2.42,0.58,0,0,0,2.97,0,0,12.4,0,0,0.61,0,0,0,0,0,0,20.29,0,0.72
108-118,6.82,0,4.72,0,0,0,0,1.39,2.28,0,0,2.15,3.95,0,0,7.42,0,0,0,0,0,0.49,0,0,0,7.48,0.87,5.62
120,3.37,0,6.25,0,0,0,0,1.61,0,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,17.96,0,0
