stage,blastomeres,eye,fin.epithelia,immune,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord
  5-6,7.87,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.42,0,0,0
 10-12,0,0,0,0,0,6.25,4.6,0,0
 14-21,0,0,0,3.78,0,0,0,0,0
 24-34,0,0,0,8.48,0,0,0,0,0.7
 36-46,0,0,2.03,7.21,0,0.96,0,0,0
 48-58,0,0,0,7.97,0.45,1.41,0,0,3.7
 60-70,0,0.99,0,5.64,0.7,0,0,0,0
 72-82,0,0,0,12.23,3.64,5.01,0,0,0
 84-94,0,0,0,20.58,0,0,0,0,0
 96-106,0,0,0,25.48,0.63,2.71,0,2.07,1.98
108-118,0,0,0,12.6,0,0,0,0,0
120,0,0,0,32.16,0,0,0,0,0
