stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,165.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48,0,0,0,0,0,0,0,0,0,0
  5-6,18.95,391.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99,0,0,0,0,0,8.98,0,0,0,0,0,0,0,0,0,0
  7-9,4.2,33.76,0,32.04,0,0,52.91,0,0,0,33.58,0,0,0,0,0,0,0,0,440.29,6.83,0,0,132.07,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,53.61,0,37.68,0,0,71.1,0,0,0,0,0,0,0,0,0,0,0,0,619.05,17.42,0,0,177.38,0,4.33,3.03,13.3,30.61,0,0,3.28,0,0,0,0
 14-21,0,0,0,0,13.3,3.84,1.01,0,0,1.07,0,0,0,0,0,0,10.83,0,4.78,98.46,2.77,0,1.09,4.94,0,2.61,0,4.62,1.37,0.84,10.14,36.16,0,0,0,0
 24-34,0,0,0,0,1.26,0,7.24,0.61,0,6.37,0.74,0.68,0,0,0,0,2.94,0,2.25,128.43,7.24,2.34,1.32,0,0,2.96,0,0,2.52,0,1.38,29.89,0,0,0,3.29
 36-46,0,0,0,0,4.12,0,10.8,0,0,3.05,0,0.65,0,0,0,0,9.53,0,2.95,265.51,0,4.74,0.57,0,0,4.88,0,0,0,0,0,58.32,0,0,0,0
 48-58,0,0,0,0,0,0,22.84,4.69,0.42,4.17,0,0,0,0,0,0.78,8.76,0,1.78,216.21,0,3.18,0,0,0,0,0,0,0.92,0,0,44.53,0,6.45,0,0
 60-70,0,0,0,0,0,1.28,74.05,0,0.86,4.59,0,0,0.67,0,0.78,0,25.56,0,0,190.3,0,3.61,0.72,0,0,4.59,0,0,0,0,0,39.61,0,0.58,0,7.99
 72-82,0,0,0.95,0,2.87,7.91,77.17,0,0.56,7.55,0,0,0.69,0,0.64,0,19.64,0,3.18,179.75,0,2.4,0,0,0.77,1.21,0,0,0.5,0,0,16.16,0.53,1.24,0.71,3.03
 84-94,0,0,0,0,1.34,4.71,30.92,0.68,0.58,13.21,0,0,0,0.86,0,0.78,9.26,0,0,136.86,0,3.37,1.78,0,0,3.97,0,0,0,0,0,12.91,1.7,0,0,0
 96-106,0,0,0,0,0,30.18,26.53,0,0,6.18,0,0,0.74,0,0,0,9.26,0,0,71.91,0,4.52,0,0,0,1.71,0,0,0,0,0,3.56,0,1.32,0,0
108-118,0,0,0,0,0,10.66,22.61,0,2.22,10.92,0,0,2.11,0,0,0.98,12.4,5.93,0.57,127.08,0,1.22,0.44,0,0,1.12,0,0,0.42,0,0,5.02,0,0,0,0
120,0,0,0,0,6.91,13.92,15.28,0,0,18.68,0,0,0,6.62,0,2.85,16.78,0,1.46,161.46,0,6.75,9,0,0,0,0,0,1.22,0,0,7.86,0,0,2.7,0
