stage,blastomeres,epidermis,eye,glial,hatching_gland,immune,ionocyte,mesenchyme,neural,olfactory,paraxial_mesoderm,spinal_cord
  5-6,9.12,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.59,0,0,0,4.79,0,0,0,12.67,0,21.05,0
 10-12,0,0,0,0,0,0,0,0,66.81,0,12.09,0
 14-21,0,0,0,1.18,0,0,0,0,0,0,0,0
 24-34,0,0.65,0.75,0,0,0,0,0,11.26,0,0,2.57
 36-46,0,0,0,0.83,0,0,0,0,2.59,0,0,7.86
 48-58,0,0,2.42,1.3,0,0,0,0,5.32,0,0,0
 60-70,0,0,1.2,0,0,0,0.92,1.09,5.5,0,0,0
 72-82,0,0,0,7.84,0,0,0,1.42,0.52,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.52,0,0,0
 96-106,0,0,0,0,0,0.83,0,4.38,0,1.76,0,0
108-118,0,0,0.5,0,0,0,0,0,2.85,0,0,0
120,0,0,0,4.66,0,1.22,0,0,0,0,0,0
