stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord
  3-4,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56,0
 24-34,0,0,0,0,0,0,0,0,0.85,0,0,0,4.38,1.36,0,5.06,0
 36-46,0,0,1.23,0,0,0,0,0,0,0,0,0,3.37,0,0,36.2,1.39
 48-58,0,0,0.47,0,2.54,0,0,0,0,0,0,0.55,9.33,0,0,12.38,0.99
 60-70,0,0,3.19,0,0,0,0.75,0,0,0,0,0,16,0,0,10.14,1.72
 72-82,0,0.69,0.82,0,1.06,0,0,0,2.4,0,0,0,12.8,0,0.5,9.9,6.37
 84-94,0,0.68,1.42,0.58,0,0,1.32,0.8,0,0,0.98,1.31,12.08,0,0,45.58,0
 96-106,0,0.65,0,0,0,0,0,0,0,0,0,0,11.76,0.63,0,19.98,0
108-118,0,1.11,1.05,0.66,0,0.68,2.08,0,0,0,0,0,11.5,0,0,23.74,0
120,0,4.33,0,0,0,0,1.4,2.12,0,1.1,0,4.95,4.26,0,0,11.06,0
