stage,axial,blastomeres,fin.epithelia,fin.mesenchyme,immune,mesenchyme,neural,paraxial.mesoderm,periderm,xanthophores
  3-4,42.78,63.14,0,0,0,0,0,0,0,0
  5-6,0,28.15,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.69,3.47,0,0
 14-21,0,0,0,0,0,0,0,0,2.21,0
 24-34,0,0,0,0,0,0,0,0,1.8,0
 36-46,0,0,5.04,0,0.57,0,6.56,0,4.49,0
 48-58,0,0,5.75,0.79,2.45,0,0,0,1.74,0
 60-70,0,0,2.71,0.72,0.67,0.77,8.3,0,0.93,0
 72-82,0,0,0.7,0,9.23,2.67,0,0,1.76,0
 84-94,0,0,0.66,0,9.4,2.44,0,0,8.38,0
 96-106,0,0,0.62,2.12,15.25,0,0,0,1.65,0
108-118,0,0,1.97,0,5.88,1.58,4.71,0,5.6,0
120,0,0,0,0,3.45,0,0,0,9.72,2.08
