stage,eye,glial,immune,liver,mesenchyme,neural,spinal_cord,vasculature
  7-9,0,0,0,0,0,25.1,0,0
 14-21,0,0,0,0,0,2.39,0,0
 24-34,0,0,0,0,0,10.1,1.69,0
 36-46,0,0,0,0,0,20.6,1,0
 48-58,0,0,0,0.46,0,4.43,0,0
 60-70,0.79,1.34,0,0,1.64,14.12,0,0
 72-82,0,0,0,1.54,4.77,24.28,0,0
 84-94,0,1.82,0,0,7.89,13.07,0,0
 96-106,0,0,1.02,0,5.85,7.7,0,0
108-118,0.83,2.14,0,0,7.1,1.43,0,0.47
120,0,0,0,0,16.18,10.75,0,2.2
