stage,axial,blastomeres,epidermis,eye,hatching_gland,immune,mesenchyme,neural,notochord,paraxial_mesoderm,somites,xanthophores
  5-6,18.49,72.64,0,0,0,0,0,0,0,0,0,0
  7-9,9.48,0,0,0,3.89,0,0,27.58,4.67,3.88,0,0
 10-12,0,0,0,4.05,0,0,0,10.07,24.43,4.21,0,0
 14-21,0,0,1.18,0,0,0,0.86,2.21,0,0,0.93,0
 24-34,0,0,0,0,0,1.7,0.67,3.58,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.77,0.66,0,0,0
 48-58,0,0,0,0,0,0,0,4.49,0,0,0,0.92
 60-70,0,0,0,0,0,0,0.65,1.06,0,0,0,0
 72-82,0,0,0,0.69,0,2.2,0.55,0,0,0,0,0
 84-94,0,0,0,0,0,0.95,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.57,0,0,0,0,0,0
120,0,0,0,0,0,0,0,8.24,0,0,0,0
