stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,7.27,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,64.34,0,6.65,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,174.52,0,0,0,26.62,0,0,0,7.85,0,8.29,0,0,0,0,0,0
 14-21,0,0,8.16,209.2,5.9,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0,0,0,29.2,0,0,45.13,20.22,62.19,0,0,0,0,4.21,1.45,0,0,9.51,94.17,0,0,0,0,0
 24-34,0,0,0.82,80.27,0,0,8.83,0.96,5.15,1.47,2.83,0,0,7.39,0,0,0,3.89,0,0,85.02,0,1.52,42.18,78.53,116.22,0,0,0,2.91,18.05,0,0,0.66,0.75,190.92,0,0,5.17,0,0
 36-46,0,0,0,13.35,0,0,10.44,6.16,3.62,5.81,1.47,0,0,13.15,2.1,0,0,7.72,0,0,165.06,0,4.46,49.59,96.14,58.63,1.21,0,0,0,2.32,0,1.75,2.58,0,140.19,0,0,6.11,0,0.72
 48-58,1.15,0,0,8.04,0,0,13.62,4.06,2.86,11.83,6.54,0,0,4.42,0,0,0,2.86,0,1.55,301.39,0,1.71,58.93,76.53,39.62,0,0.42,0,0,0.55,0,0,0,0,205.79,0,0.49,0.61,0,2.71
 60-70,0,0,0,4.95,0,0,27.45,1.41,0,3.68,18.93,0.65,0,11.36,11.7,0,2.44,1.44,0,0,485.67,0,7.85,35.97,117.15,10.75,0,1.99,0,1.13,0.97,0,5.28,0,0,122.07,0,13,0,1.92,32.83
 72-82,0,0,0,0,1.49,1.04,31.94,0.95,2.72,16.26,27.78,2.45,0,5.01,0,0,4.96,0,0,0,671.12,0,12.49,47.96,42.11,7.37,0,5.39,0,0,0,0,1.75,0,0,134.06,0,15.23,1.62,5.09,1.16
 84-94,0,0,0,2.87,6.62,0,39.72,1.34,0,15.31,22.32,1.62,0,3.71,1.47,0,23.46,4.53,0,1.81,639.64,0,20.01,28.17,54.25,10.24,0.6,1.87,0,2.48,0,0,2.57,0.79,0,148.77,0,3.95,5.95,6.52,1.5
 96-106,0,0,0,5.82,0,0,38.01,0,1.46,7.71,33.07,0,0,3.72,1.32,0,27.18,1.38,1.8,0,609.51,5.92,20.02,29.28,42.4,3.28,0,9.08,0,12.93,0,0,3.23,0,0,203.47,1.68,13.56,0,22.34,0
108-118,0,0,0,2.08,0,1.13,22.55,2.63,0.56,10.69,23.9,2.84,0,0.51,0,1.07,75.69,0,0,2.02,638.11,0,3.3,26.91,52.17,2.86,0,11.62,0,6.16,0,0,3.46,1.73,0,100.61,2.01,11.86,4.45,16.56,4.2
120,0,0,0,8.64,0,0,36.17,0,0,5.31,20.33,4.96,0,4.2,0,0,21.34,0,5.66,0,560.46,0,18.07,16.7,66.98,12.37,0,27.62,0,11.51,1.87,0,0,0,0,152.07,1.81,15.48,3.09,23.48,0
