stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,29.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36,0,0,0,0,0,0,0,0
 10-12,0,0,10.76,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,5.96,0,0,0
 14-21,0,0,0,0,0,0,0,1.23,0,0,0,0,0.83,0,2.9,1.67,0,0,0,0,0,0,0,29.31,26.17,0,0,0
 24-34,0,0,0,2.98,11.3,0.7,0,0,0,12.46,0,0.63,28.06,0,22.04,11.11,0.63,0,1.46,0,0,8.33,0,7.42,20.22,0,0,0
 36-46,0,0,0,0.71,21.98,0,0,3.82,0,1.98,0,0,46.12,0.71,16.77,25.89,0,0,0,0,2.1,0,0,16.98,0.6,2.36,0.62,0
 48-58,0,0,0,0,10.78,0,3.45,1.09,0,0.77,0.49,0,53.46,2.47,15.42,16.89,0,0,1.78,4.77,0,0,0,8.08,0,0.63,0.64,0
 60-70,0,3.71,0,8.18,9.53,0,0,0,0,0,0,0,42.49,16.24,12.66,5.27,0,0,7.23,0.81,0,3.72,0.62,6.51,0,0,0,0
 72-82,0,0.52,0,9.95,3.47,0,0,2.27,0,0,1.94,0,26.66,6.89,4.6,26.36,0,0,6.01,0,0,0,0,13.92,0,5.36,1.57,1.24
 84-94,0,0,0,5.55,4.88,0,0,0,0.75,0,0,0,44.62,1.62,4.72,12.98,0,0,7.55,0,1.31,0,0,23.7,0,0,2.45,3.45
 96-106,0,0.91,4.68,14.82,10.6,0,0,9.45,0,0,9.08,0,13.03,0.94,2.05,9.07,0,0,13.44,10.66,0,0.65,0,8.81,0,0,2.8,3.34
108-118,0,0.65,1.49,10,10.75,0,0,1.06,0,0.51,1.96,2.26,21.35,1.98,11.86,11.45,0,0.59,1.07,0,0,0,0.84,9.46,0,0,0,0
120,0,1.96,0,0,70.66,0,0,0,0,0,0,0,13.31,2.47,3.1,0,0,0,45.66,0,4.22,0,0,4.42,0,0,0,0
