stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,139.77,3685.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.82,0,0,0,0,0,0,0,0
  5-6,260.44,4084.24,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,109.39,33.61,0,0,20,76.52,0,0,0,0,0,0,0,0
  7-9,22.41,40.01,41.72,0,0,36.82,0,0,0,0,27.4,0,0,0,0,0,0,0,0,0,807.5,10.66,0,0,188.07,3.29,64.75,0,0,0,0,0,0,0
 10-12,0,7.49,15.64,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.06,0,0,0,17.93,6.22,8.7,0,0,0,0,0,0,0
 14-21,0,0,3.22,7.67,3.31,3.56,0,0,0.9,0,0,6,0,0,0,0,3,0,0,2.77,29.5,0,1,0,0.95,4.14,0,8.91,0,3.85,6.72,0,0,0
 24-34,0,0,0,3.52,0,2.83,0,0,1.83,0,0.81,13.05,0,0,0,0,2.52,0.9,0,1.49,73.84,0,0,0,0,1,0,0,0,0,21,0,2.48,0
 36-46,0,0,0.96,0.6,0,14.87,0,0,2.24,0.82,0,0.77,0,0,0,0,3.45,0,0,0,70.1,0,1.27,0,0,0,0.68,0,0,0,10.23,0,3.86,0
 48-58,0,0,0,0.53,0,8.61,0,0,4.84,0,0,0,0,0,6.39,5.05,0,0,0,0,77.58,0.49,0,0,0,0,0,0,0,0,9.28,0,0,0
 60-70,0,0,0,0,0,10.22,0.61,0.76,5.66,0,0,0,0,0,0,0,2.36,0,0,0,118.72,0,1.82,0,0,0,0,0,0,0,14.76,0,0,0
 72-82,0,0,0,0,0,17.7,0,0.59,9.06,0,0,0,0,0,0,0,3.42,0,0,0,110.55,0,2.57,3.89,0,0,0,0,0,0,7.4,1.24,1.66,3.55
 84-94,0,0,0,0,0,8.14,0,0,2.68,0,0,0,0,0,0,0,2.54,0,0.76,0,75.23,0,0,0,0,1.26,0,0,0,0,1.05,0,0,0
 96-106,0,0,0,1.07,1.94,19.22,0,0,7.96,0.61,0,0,1.62,0,0,0,1.13,0,0,0,78.85,0.7,3.22,0.66,0,0,0,0,0.87,0,17.9,0,0,0
108-118,0,0,0,0.52,0,17.83,0,0,6.95,0.54,0,0,0,0.51,0,0,4.82,0,0,1.14,115.07,0,1.31,0,0,0.61,0,0,1.91,0,0,0,0,0
120,0,0,0,2.1,0,0,0,0,3.47,0,0,0,0,0,0,0,1.5,0,0,3.12,131.28,0,0,0,0,0,0,0,0,0,3.29,0,0,0
