stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.95,248.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.33,77.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,35.39,0,0,0,0,0,0,0,0,0,0,0,5.29,0,0,0,8.12,0,0,6.2,0,0,0,0,0,0
 10-12,0,20.61,0,13.65,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.45,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.29,0.94,0,1.07,0,0,0,0,0,1.11,0,3.59,0.81,0,1.18,0,0,0,0,0.85,0,0,0,4.04,0,9.79,0,0,0,7.53,0,15.63,0,0,0,0,0
 24-34,0,0,11.72,0,5.27,1.16,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,3.78,0,0,1.06,162.72,0.75,46.28,0,0,0,14.11,0,10.81,0,0,4.18,0,3.29
 36-46,0,0,3.68,0,0,0,0,2.58,0,0,0,9.32,0,3.72,0,0,0,0,0,0,0,2.68,0,0,0,268.82,0,15.64,0,0,0,4.44,0,20.54,0,0,0,0,0
 48-58,0,0,1.2,0,4.16,0,0,13.2,0,0,1.28,12.77,0,81.39,0.88,0,0,11.37,0,0,0.88,2.33,11.15,0,0.81,333.31,0,2.86,0,0,0.53,13.47,0,21.96,0,0,0.4,0,0
 60-70,0,0,0,0,15.22,0,0,27.3,0,0,0,23.58,0.62,18.91,0,0,0,12.49,0,0,0,3.62,14.27,0,0,429.15,0.66,0,0,0,0,15.55,0,18.58,2.13,0,0,0,0
 72-82,0,0,0,0,2.31,0,0,25.22,0,0,0,17.4,11.26,5.94,0,0,0,10.77,0,0.62,0,8.12,7.51,0,0.57,472.93,0,0,0,0,0,7.59,0,12.73,0,0.52,6.44,1.19,0
 84-94,0,0,7.21,0,2.17,0,0,31.14,0,0,1.92,21.33,12.23,15.57,0,1.5,0,40.52,1.05,0,0,8.83,10.98,0.94,0,398.77,0,1.22,0.97,0,0,34.15,0,18.59,0,0,0,0,0
 96-106,0,0,4.41,0,8.08,18.08,0,22.9,0,1.22,3.29,11.91,16.43,5.82,0,0,0.82,45.24,0,0,0,24.09,13.59,0,0.93,298.65,0,2.04,0,0,0,52.09,0,26.52,1.75,0.58,3.29,0,0.8
108-118,0,0,4.28,0.61,11.71,0,0.7,42.95,0.61,2.47,0,24.08,29.08,0,0.51,1.02,0,97.22,0,0.42,0,12.53,8.37,0,0,502.55,0,0.55,0.78,0,0,51.25,0,36.09,0,1.53,0.74,0,0.6
120,0,0,1.37,0,25.19,0,0,11.24,0,0,0,25.14,9.54,0,0,4.77,8.08,38.78,0,0,0,36.13,0,0,0,744.68,0,0,0,0,0,15.97,0,7.44,0,0,12.84,0,0
