stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.91,12.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,2.54,1.89,0,0,0,0,0.81,0,0,1.07,1.16,0,0,0,0,0
 24-34,0,0,0.63,0,2.31,0,0,0,0,0,0,0,0,0,0,0,3.19,0,0,70.7,0,0,0.76,0,0,0,0.99,0,15.58,0,0,0,0,0
 36-46,0,0,0,0,5.62,0,0,0,0,0,0,1.06,0,1.36,0,0,5.43,0.8,0.73,220.35,0,0,0,0,0,0.81,0,0,36.37,0,0,0,0,0
 48-58,0,0,0,0,17.06,0,0,0,0,0,0,0,0,0,0,0,14.45,0,0,282.22,0,0,0,0,0,0,0,0,40.56,0,0,0.9,0,0
 60-70,0,0,1.37,0,25.61,0,0,13.8,0,0,2.11,2.19,0,0,0,0,10.5,0,1.7,548.99,0,0,0,0.84,1.24,0,0,0,42.61,0,2.99,0,0,0
 72-82,0,0,5.39,0.61,98.06,0,1.1,12.41,0,0,2.92,3.45,0,0,0,0,16.69,1.46,4.45,820.44,0,0,0,5.61,7.06,0,0,0,39.49,1.33,0.91,3.82,2.75,8
 84-94,0,0,2.12,0,41.99,0,0,7.35,0,0.71,0,1.16,0,0.62,0.61,0,25.34,4.6,1.29,603.87,0,0,0,6.54,7.29,0,0,0,39.05,0,0,0,0,0
 96-106,0,0,1.18,0,112.36,0.71,0,22.5,0,0,0.62,3.12,0.82,0,0,0,8.18,3.53,0,634.58,0,3.11,0,4.31,4.23,0,0,0,26.47,0,0.78,0.64,0,0
108-118,0,0,1.44,0,83.05,0,0,6.99,0.87,0,0,0,0,0,0,0.82,9.02,4.91,0,609.54,0,0,0,1.96,0,0,0,0,19.1,0,3.7,0,0,0
120,0,0,4.9,0,114.31,0,0,8.63,0,0,1.85,12.91,0,0,0,0,19.94,0,9.48,1313.9,16.67,10.3,0,5.5,13.29,0,0,0,17.82,0,0,10.86,10.35,0
