stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,57.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.94,0,0,0,0,0,0,0,0,0,13.43,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.1,0,0,0,0,0,0,0,0,0,5.52,0,0,1.46,0,0.86,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.96,0,0,1.56,8.73,0,0.76,0,0,0,1.92,0,0,0,0
 36-46,0,0,0,0.7,0,0,0,0,0,8.58,0,0,1.93,3.68,0.82,0,0,0,0,4.86,0,0,0,0
 48-58,0,0.76,0,0.4,0.47,0.71,0,0,0,14.77,0,0,1.82,3.74,0,0,0,0,0,1.35,0,0,0,0
 60-70,0,0,0,0.69,1.93,0,0,0,0,18.08,0,0,1.43,1.66,0,0,0,0.82,0,1.16,0,0,1.25,0
 72-82,0,0,0,5.02,1.77,2.2,0,0,0,43.03,0,0,0.75,2.82,0,0,0,1.74,0,0,1.57,0,0,8.77
 84-94,0,0,0,1.76,0,1.61,0.71,0,0,52.42,0,2.55,0,0,0,0,0,0.79,0,0,1.63,0,0,0
 96-106,0,1.52,0,0,11.16,0,0,3.1,0,73.61,0,1.42,0,4.54,0,0,0,2.31,0,0,1.76,0.71,0,0
108-118,0,0.51,0.64,1.51,5.82,3.84,0,0,0.44,98.49,1.15,0,2.07,14.78,0,0,0,0,0,0,1.82,0,0,0
120,0,5.6,0,1.73,0,8.97,0,0,0,66.59,0,13.05,0,16.42,0,0,0,5.37,0,0,0,0,0,0
