stage,axial,blastomeres,epidermis,eye,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,50.17,605.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0
  5-6,19.29,582.27,0,0,0,0,0,0,0,0,0,0,0,32.84,0,0,0,0,0,0,0
  7-9,3.27,6.33,0,33.91,0,0,0,0,0,0,0,0,0,38.16,13.21,0,22.92,0,0,0,0
 10-12,0,5.59,0,0,0,0,0,0,0,0,0,0,0,51.93,8.4,0,15.4,0,6.05,0,0
 14-21,0,0,0.86,0,0,0,0,0,0,0,0,2.2,1.17,2.03,0,0,0,6.86,0,5.96,0.84
 24-34,0,0,0.6,2.51,1.36,0.85,0,0,1.23,0,0,0.89,0,7.65,0,0,0,28.48,0,2.06,0
 36-46,0,0,0,2.06,0,0,0,0,0,0,0,3.58,0,20.75,0,0,0,28.79,0,0,0
 48-58,0,0,0,0.51,1.61,0,0,0,0,0,0,1.09,0,15.79,0,0,0,5.45,0,0.71,0
 60-70,0,0,0,3.8,4.32,0,0,0,0,0,0,1.54,0,11.81,0,0,0,9.98,0,4.54,0
 72-82,0,0,0,3.7,3.23,0,0,0,0,0,0,1.1,0,0,0,0,0,8.92,0,0,0
 84-94,0,0,0,7.43,0,0,0,0,0,0,0,2,0,3.99,0,0,0,36.09,0,0,0.57
 96-106,0,0,0.96,5.05,1.92,0,0.69,1.59,0,0,0,1.36,0,7.58,0,0,0,38.1,0,0,0.57
108-118,0,0,1.17,0.92,0,0.99,0,0.44,0,0,0.97,1.77,1.37,0.65,0,0,0,42.45,0,0,0
120,0,0,3.71,6.78,0,0,0,2.5,0,3.92,0,0,0,0,0,1.76,0,21.92,0,0,0
