stage,epidermis,eye,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
 14-21,1.39,0,0,0,1.89,0,0,0,0,0,0,4.35,0.9,0,0
 24-34,0.9,0.68,0,0,0.8,0,1.56,1.09,0,0,1.11,0,0.78,0,0
 36-46,0,0.69,0,0,2.4,0,4.22,0,2.29,0,0,0,0,0,0
 48-58,0,0.97,3.31,0,0,0.53,1.32,0,2.08,0,0,0,3.48,0,0
 60-70,0,1.61,0.76,0,6.91,0,0,0,3.16,0.96,0,0,0,0,0
 72-82,0,0,3.21,0,3.83,0,5.39,0,0.53,1.12,0,0,0,2.26,0.78
 84-94,0,2.91,0,0,4.32,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.94,1.13,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.36,13.45,6.04,7.83,0,1.62,0,0,0,1.14,0,0
120,0,0,0,0,13.81,0,2.54,0,0,0,0,0,0,0,0
