stage,blastomeres,eye,fin.mesenchyme,glial,neural,olfactory,paraxial.mesoderm
  5-6,24.84,0,0,0,0,0,0
  7-9,0,0,0,0,13.83,0,3.97
 10-12,0,0,0,0,16.85,0,0
 14-21,0,0,0,0,0.9,0,0
 24-34,0,0,0,0,0,1.34,0
 36-46,0,0,0,0,2.29,2.19,0
 48-58,0,1.1,0,0,0.87,1.13,0
 60-70,0,3.9,0,0.7,1.33,0,0
 72-82,0,39.35,0.79,0.93,3.22,2.1,0
 84-94,0,45.83,0,3.56,3.38,1.71,0
 96-106,0,41.57,0,0,1.26,1.12,0
108-118,0,59.69,0,0,0,0,0
120,0,29.24,0,0,11.56,0,0
