stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,4.22,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0
 24-34,0,0,9.47,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,12.31,0,1.18,0,0,0,32.02,1.65,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.81,0,0,0,0,0,3.44,0,0,1.31,0,0,0,16.23,0,5.19,0,0,0,164.32,1.65,0,0.9,0,0,0,0,0
 48-58,0,0,12.89,0,0,5.48,0,2.11,0,0,0,0,0,0,0,1.52,0,2.93,1.47,0,0,0.42,27.61,0,11.33,0,0,0,457.8,0,0,0.86,0,0,0.52,0,0
 60-70,0,0,77.95,0,0,23.42,0,10.5,0.62,0.98,0,0,0,2.57,0,16.48,0,0,0.68,0,0,0,35.6,0,3.35,0,0,0,1029.16,0,0,11.69,1.42,0,0,0,0
 72-82,0,0,337.35,0,0,28.3,0,9.04,5.04,14.91,0.63,0,0,25.97,0,51.82,0,0,16.25,10.72,2.7,0.76,69.64,0,8.25,0,0,0,1198.36,0.76,0,0.75,13.92,1.7,0.77,1.37,7.8
 84-94,0,0,666.2,0,0,28.11,0,70.3,0,7.05,0.55,0,0,113.89,0,36.6,0,2.45,7.31,24.14,0,0,24.88,1.52,42.45,0,0,0,2177.95,0.81,0,0,67.37,0.99,1.21,3.29,0
 96-106,0,0,909.04,10.68,0,109.63,2.21,71.17,1.53,24.73,3.74,0,1.57,179.28,3.11,161.92,0.73,0,23.91,30.27,0,0.9,93.83,0,17.47,0.62,0,0,2716.35,0.9,0.69,0,441.83,0,0,0.69,8.78
108-118,0,1.18,809.59,1.72,0.7,20.2,3.03,114.37,0,16.7,0,1.03,0.78,186.26,0,112.63,1.64,0,15.89,32.74,0,4.23,87.59,0,28.72,1.26,0,2.64,1801.71,0,0,0,740.06,0,3.22,0,0
120,0,0,349.64,4.51,0,46.32,0,31.97,1.74,4.69,15.07,0,0,75.06,0,88.38,4.19,0,7.21,14.43,0,0,64.05,0,10.36,0,0,0,1051.02,0,0,0,189.51,0,12.08,0,0
