stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,spinal.cord,vasculature
  3-4,10.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.53,0,0,0,0,0,0,0,0,0,12.15,0,0,0,0,0
  7-9,0,0,4.72,0,0,0,0,0,70.31,0,17.08,0,6.94,0,0,0
 10-12,3.69,0,4.23,0,0,0,0,0,63.45,0,15.84,0,5.47,0,0,0
 14-21,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.89,0,7.73,0,0,0,0,0,1.77,0
 36-46,0,0,1.61,2.46,0,0,1.18,0,4.75,0,0,0,0,0,6.77,0
 48-58,0,0.73,2.43,0,0,0,0.44,0,3.65,0,0,0,0,0,0.47,0
 60-70,0,0,14.25,0,0,15.03,0.95,0,0,0,0,2.92,0,1.84,0,1.37
 72-82,0,0,0,0,1.15,0.97,1.71,0,0.59,0,0,0,0,0,0,0
 84-94,0,0.7,2.98,0,0,0,0.71,0,2.77,0,0,0,0,0,0,0
 96-106,0,0,0.75,0,0,0,0,0,0,0.98,0,0,0,0,0,0
108-118,0,1.37,0.93,0,0,0,2.22,0,0.98,0,0,0,0,0,0,0
120,0,1.96,2.85,0,1.04,0,0,0,15.58,0,0,0,0,0,0,0
