stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,olfactory,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0,3.5,0,0,0.91,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,17.34,3.41,0,0,0,0,6.39,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,52.43,0,0,0,0,0,5.97,0,0,0,0
 48-58,0,0,0,0,0,7.17,0,0,0,0,0,0,0,0.63,0,139.82,0,0,0,0,1.71,13.94,0,0,0.77,0
 60-70,0,0,0,0,0,7.24,0,0,0.71,0,0,0,0,5.89,0,316.22,1.03,0,5.23,0,0,15.47,0,0,0,0
 72-82,0,1.18,0,0.65,0,12.42,0,1.29,9.32,0,2.06,0,0,5.31,1.61,493.3,1.21,0,0,0,0,31.63,0,0,0,0
 84-94,0,0,0,0,0.58,14.27,0,0,3.68,0,0,0,0,15.14,0,357.37,0,0,0.7,1.19,0,18.48,0,0,0,0
 96-106,0,0,0,0,1.85,35.56,0,0,6.52,0,0,0,0,1.12,0,445.98,0.81,0,0,0,0,24.92,0,0,0,3.88
108-118,0,0,0,1.2,0,24.09,0.75,0,13.55,0.5,0,0,0,6.21,0.81,461.13,0,4.92,0,0,0,12.26,0.68,0.9,0,0
120,0,0,0,3.13,0,14.59,0,0,4.25,0,0,3.86,3.79,4.8,0,1148.16,0,0,5.22,0,0,29.24,0,0,0,0
