stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,153.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.87,0,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.83,0,0,0,68.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,49.38,0,30.37,0,5.97,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,1316.45,46.76,0,0,312.76,0,0,0,4.43,99.98,0,0,0,0,0,0,0,0
 14-21,0,0,27.52,262.82,38.27,0.96,0,0,0,46.83,7.65,0,0,0,0,2.19,2.5,0,294.36,0,0,167.56,1486.45,52.02,0,0,16.65,0,5.98,1.54,91.71,40.61,3.08,80.17,517.78,0,0,8.11,0,0
 24-34,0,0,16.08,103.15,3.73,12.59,0,4.25,0.95,79.21,2.29,8.57,0,0,0,3.2,1.29,6.15,384.97,0,0,144.58,3276.57,10.6,0,1.32,0,1.61,10.14,0,0.93,12.26,0.71,10.1,837.22,0,0,46.38,0,0.69
 36-46,0,0,0.56,55.66,3.68,27.7,5.35,0.71,4.12,101.27,3.09,3.34,0,0,23.39,3.89,3.59,2.16,298.5,1.25,2.88,53.65,4346.76,2.96,0,0,0,0,3.95,0.98,1.78,10.79,8.26,0,783.86,0,2.6,27.93,0.78,0
 48-58,0,0,0,28.51,0,64.75,2.03,0.92,0,124.37,0.39,2.89,0.42,0,0.47,0,0.48,9.28,327.39,0,11.34,47.91,2734.41,6.31,0.52,0,0,4,11.28,0,0,1.72,1.76,0,632.74,0,0.37,15.49,0,12.57
 60-70,0,4.68,0,9.22,0,35.14,1.51,4.7,12.2,77.67,4.03,2.38,5.34,0,0,0,0,0,285.66,0,6.81,19.1,2027.66,0,1.09,0,0,5.49,21.56,0,0,0,1.57,0,268.18,0,12.04,7.36,3.59,0
 72-82,0,0,0,17.69,1.2,40.02,0,0,0,101.8,0,5.04,0,0,0,3.04,0,0,362.67,0,10.81,21.39,1328.96,0.79,0,0,0,5.78,0,0,0,2.07,3.76,0,167.35,2.66,20.69,17.97,13.87,0
 84-94,0,0,0,19.66,0,65.09,5.82,2.82,1.32,90.1,1.3,1.22,0.7,2.45,0.71,1.69,0,0,323.46,0,20.87,17.25,783.99,1.22,0,1.68,0,0,1.82,0,0,2.76,0.57,0,115.89,4.91,12.97,33.52,4.99,9.74
 96-106,0,0,0,17.75,4.91,59.66,4.05,7.18,0,82.07,2.83,0,2.57,0,0.92,1.93,0,0.69,278.12,0,11.55,26.07,604.65,3.12,0,0.79,0,3.3,1.19,0,0,6.48,0,0,39.16,8.61,21.42,23.57,18.5,0
108-118,0,0,0,19.21,1.49,31.9,4.32,1.79,1.23,77.17,0.61,0.68,0,0,1.7,4.03,0,0,330.76,0,16.06,14.4,692.58,1.97,0.7,0,0,2.71,0.9,0,0,3.84,0,0,27.82,3.45,11.81,24.27,7.17,1.56
120,0,0,0,35.16,0,63.69,4.72,2.51,0,130.67,1.66,0,0,5.2,0,2.19,0,0,344.58,0,24.46,33.54,916.84,27.31,0,0,0,7.72,0,0,0,1.12,0,0,26.15,6.78,21.3,43.9,21.14,0
