stage,epidermis,eye,fin_epithelia,neural,vasculature
 24-34,0,0,0,1.61,0
 60-70,0.61,0,0,0,0
 72-82,0,0.88,0,0,0
 84-94,0,0,0,1.63,0
 96-106,0,0,0,0,3.14
108-118,0,0,0,4.16,0
120,0,0,3.61,4.41,0
