stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.32,0,0,0,0,0,17.82,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.21,3.96,0,0,3.43,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.14,0.84,0,0,0,0,0,0,2.62,0,0,0,0,0,0,0,0,2.18,0,0,1.94,62.43,2.52,0,0,0,0,0,0,0,68.28,0,0,0,0,0
 24-34,0,0.84,9.96,0,0,32.22,0,0.82,0,1.58,0,0,0,0,0.65,0,0,0,6.78,0,0,2.15,888.21,0,56.42,0,0,0,0.75,0,0.6,358.84,0,0,0,0,0
 36-46,0,1.03,0.94,0,0,36.52,0,0,0,2.75,0,0,0,0,0,1.31,0,0,27.73,0,0,0.92,1732.38,0,72.04,0,0,0,0,0,0,566.49,0,0,0,0,1.43
 48-58,0,0.92,4.83,2,0,241.53,0,0,0,10.8,0,5.14,0,0,0,7.73,0,0.54,25.87,0,0.55,1.79,2221.98,0,50.89,6.67,0,0,1.78,0,0,480.63,0,0,7.26,0,14.71
 60-70,0,0,6.58,0.79,0,1909.38,0,3.14,5.14,26.07,0,0,0,0.72,0,7.43,0,0,39.2,0,0,5.88,4011.13,0,66.89,0,0,0,11.14,0,0,667.01,0.81,0,0,0,22.95
 72-82,0,2.54,24.46,6.49,1.04,3233.77,2.7,0.61,11.94,55.34,2.05,0,0,2.9,0,0.57,0,0,43.41,2.59,0.81,1.13,3741.76,0,95.29,1.38,0,0,0.62,0,0,452.09,1.01,2.11,8.48,0.76,23.11
 84-94,0,3.18,30.27,6.25,0,3246.67,0,11.51,0,58.83,0,0,0.7,2.62,0,1.22,4.97,0,40.72,0,5.05,1.32,3046.23,0,56.8,0,0,0,4.86,0,0,433.74,4.35,1.99,6.84,0,0
 96-106,0,3.17,22.57,10.5,1.05,3690.2,1.19,0.58,4.71,78.59,1.52,0,6.69,3.06,9.75,10.48,10.79,0,57.01,0,4.5,4.86,2559.6,0,103.3,4.04,0,1.51,16.76,0.68,0,163.13,2.93,3.27,14.16,5.13,11.04
108-118,0,4.43,26.51,5.91,0.46,2835.68,1.25,0,0.83,117.22,2.31,0,0,0.64,0,0.42,2.95,0,41.11,0,2.24,1.49,3238.3,0,90.66,0,0,0,2.95,1.48,0,138.58,13.36,0,0.84,2.34,0
120,0,11.8,42.07,0,0,2818.48,14.06,0,0,175.28,0,0,0,0,0,0,0,0,76.92,0,0,0,4690.34,1.25,113.38,0,0,0,3.24,0,0,207.85,6.14,0,0,0,0
